Sample#,Experiment,Batch,GrowthConditions,Growthtime(hr),HarvestDate,Notes(NGS),Cell_total,cells_per_tube,#tubesinstorage
96,Gluconate_growth,021S,gluconate,27,2013-10-19,SA14140,,,5
97,glucose_time_course,007R,glucose,3,2013-11-05,SA14140,2.1E+10,2.1E+09,5
98,glucose_time_course,007R,glucose,4,2013-11-05,SA14140,2.7E+10,2.7E+09,5
99,glucose_time_course,007R,glucose,5,2013-11-05,SA14140,2.7E+10,2.7E+09,5
100,glucose_time_course,007R,glucose,6,2013-11-05,SA14140,2.9E+10,2.9E+09,5
101,glucose_time_course,007R,glucose,8,2013-11-05,SA14140,3.9E+10,3.9E+09,5
102,glucose_time_course,007R,glucose,24,2013-11-06,SA14140,3.8E+10,3.8E+09,5
103,glucose_time_course,007R,glucose,48,2013-11-07,JA13648,3.4E+10,3.4E+09,5
104,glucose_time_course,007R,glucose,168,2013-11-12,JA13648,3.1E+10,3.1E+09,5
105,glucose_time_course,007R,glucose,336,2013-11-19,JA13648,3.0E+10,3.0E+09,5
106,MgSO4_stress,022E0.08,glucose+MgSO4,5.5,2013-12-11,JA14688,3.9E+10,3.9E+09,
107,MgSO4_stress,022E0.8,glucose+MgSO4,5.5,2013-12-11,SA14140,4.4E+10,4.4E+09,
108,MgSO4_stress,022E8,glucose+MgSO4,5.5,2013-12-11,SA14140,4.6E+10,4.6E+09,
109,MgSO4_stress,022E50,glucose+MgSO4,5,2013-12-11,SA14140,3.4E+10,3.4E+09,
110,MgSO4_stress,022E200,glucose+MgSO4,5,2013-12-11,SA14140,3.2E+10,3.2E+09,
111,MgSO4_stress,022E400,glucose+MgSO4,7,2013-12-11,SA14140,3.9E+10,3.9E+09,
112,MgSO4_stress,022S0.08,glucose+MgSO4,28,2013-12-12,SA14140,3.9E+10,3.9E+09,
113,MgSO4_stress,022S0.8,glucose+MgSO4,28,2013-12-12,SA14140,4.1E+10,4.1E+09,
114,MgSO4_stress,022S8,glucose+MgSO4,28,2013-12-12,SA14140,4.4E+10,4.4E+09,
115,MgSO4_stress,022S50,glucose+MgSO4,28,2013-12-12,SA14140,4.2E+10,4.2E+09,
116,MgSO4_stress,022S200,glucose+MgSO4,28,2013-12-12,SA14140,4.4E+10,4.4E+09,
117,MgSO4_stress,022S400,glucose+MgSO4,28,2013-12-12,SA14140,3.3E+10,3.3E+09,
118,MgSO4_stress,023E0.08,glucose+MgSO4,5.5,2014-01-15,SA14140,3.2E+10,3.2E+09,
119,MgSO4_stress,023E0.8,glucose+MgSO4,5.5,2014-01-15,SA14140,3.6E+10,3.6E+09,
120,MgSO4_stress,023E8,glucose+MgSO4,5.5,2014-01-15,SA14140,3.9E+10,3.9E+09,
121,MgSO4_stress,023E50,glucose+MgSO4,5,2014-01-15,SA14140,3.6E+10,3.6E+09,
122,MgSO4_stress,023E200,glucose+MgSO4,5,2014-01-15,SA14140,3.4E+10,3.4E+09,
123,MgSO4_stress,023E400,glucose+MgSO4,7,2014-01-15,SA14140,3.7E+10,3.7E+09,
124,MgSO4_stress,023S0.08,glucose+MgSO4,28,2014-01-16,JA14688,3.4E+10,3.4E+09,
125,MgSO4_stress,023S0.8,glucose+MgSO4,28,2014-01-16,JA14688,3.8E+10,3.8E+09,
126,MgSO4_stress,023S8,glucose+MgSO4,28,2014-01-16,JA14688,4.0E+10,4.0E+09,
127,MgSO4_stress,023S50,glucose+MgSO4,28,2014-01-16,SA14140,4.2E+10,4.2E+09,
128,MgSO4_stress,023S200,glucose+MgSO4,28,2014-01-16,SA14140,4.3E+10,4.3E+09,
129,MgSO4_stress,023S400,glucose+MgSO4,28,2014-01-16,SA14140,3.3E+10,3.3E+09,
130,MgSO4_stress,024E0.08,glucose+MgSO4,5.5,2014-01-30,SA14140,3.2E+10,3.2E+09,
131,MgSO4_stress,024E0.8,glucose+MgSO4,5.5,2014-01-30,SA14140,3.6E+10,3.6E+09,
132,MgSO4_stress,024E8,glucose+MgSO4,5.5,2014-01-30,SA14140,3.9E+10,3.9E+09,
133,MgSO4_stress,024E50,glucose+MgSO4,5,2014-01-30,SA14140,3.2E+10,3.2E+09,
134,MgSO4_stress,024E200,glucose+MgSO4,5,2014-01-30,,3.1E+10,3.1E+09,
135,MgSO4_stress,024E400,glucose+MgSO4,7,2014-01-30,,3.5E+10,3.5E+09,
136,MgSO4_stress,024S0.08,glucose+MgSO4,28,2014-01-31,,3.7E+10,3.7E+09,
137,MgSO4_stress,024S0.8,glucose+MgSO4,28,2014-01-31,,4.0E+10,4.0E+09,
138,MgSO4_stress,024S8,glucose+MgSO4,28,2014-01-31,,4.0E+10,4.0E+09,
139,MgSO4_stress,024S50,glucose+MgSO4,28,2014-01-31,,4.1E+10,4.1E+09,
140,MgSO4_stress,024S200,glucose+MgSO4,28,2014-01-31,SA14140,4.3E+10,4.3E+09,
141,MgSO4_stress,024S400,glucose+MgSO4,28,2014-01-31,SA14140,2.9E+10,2.9E+09,
142,MgSO4_stress,025E05,glucose+MgSO4,5,2014-06-17,,,,
143,MgSO4_stress,025E10,glucose+MgSO4,5.5,2014-06-17,,,,
144,MgSO4_stress,025E20,glucose+MgSO4,5.5,2014-06-17,,,,
145,MgSO4_stress,025E40,glucose+MgSO4,5.5,2014-06-17,,,,
146,MgSO4_stress,025E80,glucose+MgSO4,5.5,2014-06-17,,,,
147,MgSO4_stress,025S05,glucose+MgSO4,26,2014-06-18,SA14155,,,
148,MgSO4_stress,025S10,glucose+MgSO4,26,2014-06-18,,,,
149,MgSO4_stress,025S20,glucose+MgSO4,26,2014-06-18,SA14155,,,
150,MgSO4_stress,025S40,glucose+MgSO4,26,2014-06-18,SA14155,,,
151,MgSO4_stress,025S80,glucose+MgSO4,26,2014-06-18,SA14140,,,
152,MgSO4_stress,026E05,glucose+MgSO4,5,2014-06-24,SA14140,,,
153,MgSO4_stress,026E10,glucose+MgSO4,5.5,2014-06-24,,,,
154,MgSO4_stress,026E20,glucose+MgSO4,5.5,2014-06-24,,,,
155,MgSO4_stress,026E40,glucose+MgSO4,5.5,2014-06-24,,,,
156,MgSO4_stress,026E80,glucose+MgSO4,5.5,2014-06-24,,,,
157,MgSO4_stress,026S05,glucose+MgSO4,26,2014-06-25,,,,
158,MgSO4_stress,026S10,glucose+MgSO4,26,2014-06-25,,,,
159,MgSO4_stress,026S20,glucose+MgSO4,26,2014-06-25,,,,
160,MgSO4_stress,026S40,glucose+MgSO4,26,2014-06-25,,,,
161,MgSO4_stress,026S80,glucose+MgSO4,26,2014-06-25,,,,
162,MgSO4_stress,027S05,glucose+MgSO4,5,2014-06-28,,,,
163,MgSO4_stress,027S10,glucose+MgSO4,5.5,2014-06-28,,,,
164,MgSO4_stress,027S20,glucose+MgSO4,5.5,2014-06-28,,,,
165,MgSO4_stress,027S40,glucose+MgSO4,5.5,2014-06-28,,,,
166,MgSO4_stress,027S80,glucose+MgSO4,5.5,2014-06-28,,,,
167,MgSO4_stress,027S05,glucose+MgSO4,26,2014-06-29,,,,
168,MgSO4_stress,027S10,glucose+MgSO4,26,2014-06-29,,,,
169,MgSO4_stress,027S20,glucose+MgSO4,26,2014-06-29,,,,
170,MgSO4_stress,027S40,glucose+MgSO4,26,2014-06-29,,,,
171,MgSO4_stress,027S80,glucose+MgSO4,26,2014-06-29,,,,

