ID	Gene Name	Species	KEGG_PATHWAY
gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	Escherichia coli	ecy00010:Glycolysis / Gluconeogenesis,
entA	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	Escherichia coli	ecc01053:Biosynthesis of siderophore group nonribosomal peptides,ecd01053:Biosynthesis of siderophore group nonribosomal peptides,ece01053:Biosynthesis of siderophore group nonribosomal peptides,ecf01053:Biosynthesis of siderophore group nonribosomal peptides,ecg01053:Biosynthesis of siderophore group nonribosomal peptides,eci01053:Biosynthesis of siderophore group nonribosomal peptides,ecj01053:Biosynthesis of siderophore group nonribosomal peptides,eck01053:Biosynthesis of siderophore group nonribosomal peptides,ecm01053:Biosynthesis of siderophore group nonribosomal peptides,eco01053:Biosynthesis of siderophore group nonribosomal peptides,ecq01053:Biosynthesis of siderophore group nonribosomal peptides,ecr01053:Biosynthesis of siderophore group nonribosomal peptides,ect01053:Biosynthesis of siderophore group nonribosomal peptides,ecv01053:Biosynthesis of siderophore group nonribosomal peptides,ecw01053:Biosynthesis of siderophore group nonribosomal peptides,ecx01053:Biosynthesis of siderophore group nonribosomal peptides,ecz01053:Biosynthesis of siderophore group nonribosomal peptides,eum01053:Biosynthesis of siderophore group nonribosomal peptides,
mhpB	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase	Escherichia coli	ecd00360:Phenylalanine metabolism,ece00360:Phenylalanine metabolism,ecf00360:Phenylalanine metabolism,ecj00360:Phenylalanine metabolism,eck00360:Phenylalanine metabolism,ecl00360:Phenylalanine metabolism,ecm00360:Phenylalanine metabolism,eco00360:Phenylalanine metabolism,ecq00360:Phenylalanine metabolism,ecr00360:Phenylalanine metabolism,ecs00360:Phenylalanine metabolism,ect00360:Phenylalanine metabolism,ecw00360:Phenylalanine metabolism,ecx00360:Phenylalanine metabolism,ecy00360:Phenylalanine metabolism,eum00360:Phenylalanine metabolism,
citG	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase	Escherichia coli	ecc02020:Two-component system,ecd02020:Two-component system,ece02020:Two-component system,ecf02020:Two-component system,ecg02020:Two-component system,eci02020:Two-component system,ecj02020:Two-component system,eck02020:Two-component system,ecl02020:Two-component system,ecm02020:Two-component system,eco02020:Two-component system,ecp02020:Two-component system,ecq02020:Two-component system,ecr02020:Two-component system,ecs02020:Two-component system,ect02020:Two-component system,ecv02020:Two-component system,ecw02020:Two-component system,ecx02020:Two-component system,ecy02020:Two-component system,ecz02020:Two-component system,eum02020:Two-component system,
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	Escherichia coli	ecc00900:Terpenoid backbone biosynthesis,ecd00900:Terpenoid backbone biosynthesis,ece00900:Terpenoid backbone biosynthesis,ecf00900:Terpenoid backbone biosynthesis,ecg00900:Terpenoid backbone biosynthesis,eci00900:Terpenoid backbone biosynthesis,ecj00900:Terpenoid backbone biosynthesis,eck00900:Terpenoid backbone biosynthesis,ecl00900:Terpenoid backbone biosynthesis,ecm00900:Terpenoid backbone biosynthesis,eco00900:Terpenoid backbone biosynthesis,ecp00900:Terpenoid backbone biosynthesis,ecq00900:Terpenoid backbone biosynthesis,ecr00900:Terpenoid backbone biosynthesis,ecs00900:Terpenoid backbone biosynthesis,ect00900:Terpenoid backbone biosynthesis,ecv00900:Terpenoid backbone biosynthesis,ecw00900:Terpenoid backbone biosynthesis,ecx00900:Terpenoid backbone biosynthesis,ecy00900:Terpenoid backbone biosynthesis,ecz00900:Terpenoid backbone biosynthesis,eum00900:Terpenoid backbone biosynthesis,
ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Escherichia coli	ecc00900:Terpenoid backbone biosynthesis,ecd00900:Terpenoid backbone biosynthesis,ece00900:Terpenoid backbone biosynthesis,ecf00900:Terpenoid backbone biosynthesis,ecg00900:Terpenoid backbone biosynthesis,eci00900:Terpenoid backbone biosynthesis,ecj00900:Terpenoid backbone biosynthesis,eck00900:Terpenoid backbone biosynthesis,ecl00900:Terpenoid backbone biosynthesis,ecm00900:Terpenoid backbone biosynthesis,eco00900:Terpenoid backbone biosynthesis,ecp00900:Terpenoid backbone biosynthesis,ecq00900:Terpenoid backbone biosynthesis,ecr00900:Terpenoid backbone biosynthesis,ecs00900:Terpenoid backbone biosynthesis,ect00900:Terpenoid backbone biosynthesis,ecv00900:Terpenoid backbone biosynthesis,ecw00900:Terpenoid backbone biosynthesis,ecx00900:Terpenoid backbone biosynthesis,ecy00900:Terpenoid backbone biosynthesis,ecz00900:Terpenoid backbone biosynthesis,eum00900:Terpenoid backbone biosynthesis,
folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	Escherichia coli	ecc00790:Folate biosynthesis,ecd00790:Folate biosynthesis,ece00790:Folate biosynthesis,ecf00790:Folate biosynthesis,ecg00790:Folate biosynthesis,eci00790:Folate biosynthesis,ecj00790:Folate biosynthesis,eck00790:Folate biosynthesis,ecm00790:Folate biosynthesis,eco00790:Folate biosynthesis,ecq00790:Folate biosynthesis,ecr00790:Folate biosynthesis,ect00790:Folate biosynthesis,ecv00790:Folate biosynthesis,ecw00790:Folate biosynthesis,ecx00790:Folate biosynthesis,ecz00790:Folate biosynthesis,eum00790:Folate biosynthesis,
kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	Escherichia coli	ecc00540:Lipopolysaccharide biosynthesis,ecd00540:Lipopolysaccharide biosynthesis,ece00540:Lipopolysaccharide biosynthesis,ecf00540:Lipopolysaccharide biosynthesis,ecg00540:Lipopolysaccharide biosynthesis,eci00540:Lipopolysaccharide biosynthesis,ecj00540:Lipopolysaccharide biosynthesis,eck00540:Lipopolysaccharide biosynthesis,ecm00540:Lipopolysaccharide biosynthesis,eco00540:Lipopolysaccharide biosynthesis,ecq00540:Lipopolysaccharide biosynthesis,ecr00540:Lipopolysaccharide biosynthesis,ect00540:Lipopolysaccharide biosynthesis,ecw00540:Lipopolysaccharide biosynthesis,ecx00540:Lipopolysaccharide biosynthesis,ecz00540:Lipopolysaccharide biosynthesis,eum00540:Lipopolysaccharide biosynthesis,
apbA	2-dehydropantoate 2-reductase	Escherichia coli	ecc00770:Pantothenate and CoA biosynthesis,ece00770:Pantothenate and CoA biosynthesis,eci00770:Pantothenate and CoA biosynthesis,ecv00770:Pantothenate and CoA biosynthesis,
kduD	2-deoxy-D-gluconate 3-dehydrogenase	Escherichia coli	ecc00040:Pentose and glucuronate interconversions,ecd00040:Pentose and glucuronate interconversions,ece00040:Pentose and glucuronate interconversions,ecf00040:Pentose and glucuronate interconversions,ecg00040:Pentose and glucuronate interconversions,ecj00040:Pentose and glucuronate interconversions,eck00040:Pentose and glucuronate interconversions,ecm00040:Pentose and glucuronate interconversions,eco00040:Pentose and glucuronate interconversions,ecq00040:Pentose and glucuronate interconversions,ecr00040:Pentose and glucuronate interconversions,ect00040:Pentose and glucuronate interconversions,ecv00040:Pentose and glucuronate interconversions,ecw00040:Pentose and glucuronate interconversions,ecx00040:Pentose and glucuronate interconversions,ecz00040:Pentose and glucuronate interconversions,eum00040:Pentose and glucuronate interconversions,
glxR	2-hydroxy-3-oxopropionate reductase	Escherichia coli	ecd00630:Glyoxylate and dicarboxylate metabolism,ecg00630:Glyoxylate and dicarboxylate metabolism,ecj00630:Glyoxylate and dicarboxylate metabolism,eck00630:Glyoxylate and dicarboxylate metabolism,eco00630:Glyoxylate and dicarboxylate metabolism,ecq00630:Glyoxylate and dicarboxylate metabolism,ecr00630:Glyoxylate and dicarboxylate metabolism,ecz00630:Glyoxylate and dicarboxylate metabolism,eum00630:Glyoxylate and dicarboxylate metabolism,
mhpC	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase	Escherichia coli	ecd00360:Phenylalanine metabolism,ece00360:Phenylalanine metabolism,ecf00360:Phenylalanine metabolism,ecj00360:Phenylalanine metabolism,eck00360:Phenylalanine metabolism,ecm00360:Phenylalanine metabolism,eco00360:Phenylalanine metabolism,ecq00360:Phenylalanine metabolism,ecr00360:Phenylalanine metabolism,ect00360:Phenylalanine metabolism,ecw00360:Phenylalanine metabolism,ecx00360:Phenylalanine metabolism,eum00360:Phenylalanine metabolism,
leuA	2-isopropylmalate synthase	Escherichia coli	ecc00290:Valine, leucine and isoleucine biosynthesis,ecc00620:Pyruvate metabolism,ece00290:Valine, leucine and isoleucine biosynthesis,ece00620:Pyruvate metabolism,ecf00290:Valine, leucine and isoleucine biosynthesis,ecf00620:Pyruvate metabolism,ecg00290:Valine, leucine and isoleucine biosynthesis,ecg00620:Pyruvate metabolism,eci00290:Valine, leucine and isoleucine biosynthesis,eci00620:Pyruvate metabolism,ecj00290:Valine, leucine and isoleucine biosynthesis,ecj00620:Pyruvate metabolism,eck00290:Valine, leucine and isoleucine biosynthesis,eck00620:Pyruvate metabolism,ecm00290:Valine, leucine and isoleucine biosynthesis,ecm00620:Pyruvate metabolism,eco00290:Valine, leucine and isoleucine biosynthesis,eco00620:Pyruvate metabolism,ecq00290:Valine, leucine and isoleucine biosynthesis,ecq00620:Pyruvate metabolism,ecr00290:Valine, leucine and isoleucine biosynthesis,ecr00620:Pyruvate metabolism,ect00290:Valine, leucine and isoleucine biosynthesis,ect00620:Pyruvate metabolism,ecv00290:Valine, leucine and isoleucine biosynthesis,ecv00620:Pyruvate metabolism,ecw00290:Valine, leucine and isoleucine biosynthesis,ecw00620:Pyruvate metabolism,ecx00290:Valine, leucine and isoleucine biosynthesis,ecx00620:Pyruvate metabolism,ecz00290:Valine, leucine and isoleucine biosynthesis,ecz00620:Pyruvate metabolism,eum00290:Valine, leucine and isoleucine biosynthesis,eum00620:Pyruvate metabolism,
yfaU	2-keto-3-deoxy-L-rhamnonate aldolase	Escherichia coli	ecc00051:Fructose and mannose metabolism,ecd00051:Fructose and mannose metabolism,ecg00051:Fructose and mannose metabolism,eci00051:Fructose and mannose metabolism,ecj00051:Fructose and mannose metabolism,eco00051:Fructose and mannose metabolism,ecq00051:Fructose and mannose metabolism,ect00051:Fructose and mannose metabolism,ecv00051:Fructose and mannose metabolism,ecz00051:Fructose and mannose metabolism,eum00051:Fructose and mannose metabolism,
mhpD	2-keto-4-pentenoate hydratase	Escherichia coli	ece00360:Phenylalanine metabolism,ece00362:Benzoate degradation via hydroxylation,ece00621:Biphenyl degradation,ece00622:Toluene and xylene degradation,ece00627:1,4-Dichlorobenzene degradation,ece00628:Fluorene degradation,ece00629:Carbazole degradation,ece00642:Ethylbenzene degradation,ece00643:Styrene degradation,ecf00360:Phenylalanine metabolism,ecf00362:Benzoate degradation via hydroxylation,ecf00621:Biphenyl degradation,ecf00622:Toluene and xylene degradation,ecf00627:1,4-Dichlorobenzene degradation,ecf00628:Fluorene degradation,ecf00629:Carbazole degradation,ecf00642:Ethylbenzene degradation,ecf00643:Styrene degradation,ecj00360:Phenylalanine metabolism,ecj00362:Benzoate degradation via hydroxylation,ecj00621:Biphenyl degradation,ecj00622:Toluene and xylene degradation,ecj00627:1,4-Dichlorobenzene degradation,ecj00628:Fluorene degradation,ecj00629:Carbazole degradation,ecj00642:Ethylbenzene degradation,ecj00643:Styrene degradation,eck00360:Phenylalanine metabolism,eck00362:Benzoate degradation via hydroxylation,eck00621:Biphenyl degradation,eck00622:Toluene and xylene degradation,eck00627:1,4-Dichlorobenzene degradation,eck00628:Fluorene degradation,eck00629:Carbazole degradation,eck00642:Ethylbenzene degradation,eck00643:Styrene degradation,ecl00360:Phenylalanine metabolism,ecl00362:Benzoate degradation via hydroxylation,ecl00621:Biphenyl degradation,ecl00622:Toluene and xylene degradation,ecl00627:1,4-Dichlorobenzene degradation,ecl00628:Fluorene degradation,ecl00629:Carbazole degradation,ecl00642:Ethylbenzene degradation,ecl00643:Styrene degradation,ecm00360:Phenylalanine metabolism,ecm00362:Benzoate degradation via hydroxylation,ecm00621:Biphenyl degradation,ecm00622:Toluene and xylene degradation,ecm00627:1,4-Dichlorobenzene degradation,ecm00628:Fluorene degradation,ecm00629:Carbazole degradation,ecm00642:Ethylbenzene degradation,ecm00643:Styrene degradation,eco00360:Phenylalanine metabolism,eco00362:Benzoate degradation via hydroxylation,eco00621:Biphenyl degradation,eco00622:Toluene and xylene degradation,eco00627:1,4-Dichlorobenzene degradation,eco00628:Fluorene degradation,eco00629:Carbazole degradation,eco00642:Ethylbenzene degradation,eco00643:Styrene degradation,ecq00360:Phenylalanine metabolism,ecq00362:Benzoate degradation via hydroxylation,ecq00621:Biphenyl degradation,ecq00622:Toluene and xylene degradation,ecq00627:1,4-Dichlorobenzene degradation,ecq00628:Fluorene degradation,ecq00629:Carbazole degradation,ecq00642:Ethylbenzene degradation,ecq00643:Styrene degradation,ecr00360:Phenylalanine metabolism,ecr00362:Benzoate degradation via hydroxylation,ecr00621:Biphenyl degradation,ecr00622:Toluene and xylene degradation,ecr00627:1,4-Dichlorobenzene degradation,ecr00628:Fluorene degradation,ecr00629:Carbazole degradation,ecr00642:Ethylbenzene degradation,ecr00643:Styrene degradation,ecs00360:Phenylalanine metabolism,ecs00362:Benzoate degradation via hydroxylation,ecs00621:Biphenyl degradation,ecs00622:Toluene and xylene degradation,ecs00627:1,4-Dichlorobenzene degradation,ecs00628:Fluorene degradation,ecs00629:Carbazole degradation,ecs00642:Ethylbenzene degradation,ecs00643:Styrene degradation,ect00360:Phenylalanine metabolism,ect00362:Benzoate degradation via hydroxylation,ect00621:Biphenyl degradation,ect00622:Toluene and xylene degradation,ect00627:1,4-Dichlorobenzene degradation,ect00628:Fluorene degradation,ect00629:Carbazole degradation,ect00642:Ethylbenzene degradation,ect00643:Styrene degradation,ecw00360:Phenylalanine metabolism,ecw00362:Benzoate degradation via hydroxylation,ecw00621:Biphenyl degradation,ecw00622:Toluene and xylene degradation,ecw00627:1,4-Dichlorobenzene degradation,ecw00628:Fluorene degradation,ecw00629:Carbazole degradation,ecw00642:Ethylbenzene degradation,ecw00643:Styrene degradation,ecx00360:Phenylalanine metabolism,ecx00362:Benzoate degradation via hydroxylation,ecx00621:Biphenyl degradation,ecx00622:Toluene and xylene degradation,ecx00627:1,4-Dichlorobenzene degradation,ecx00628:Fluorene degradation,ecx00629:Carbazole degradation,ecx00642:Ethylbenzene degradation,ecx00643:Styrene degradation,ecy00360:Phenylalanine metabolism,ecy00362:Benzoate degradation via hydroxylation,ecy00621:Biphenyl degradation,ecy00622:Toluene and xylene degradation,ecy00627:1,4-Dichlorobenzene degradation,ecy00628:Fluorene degradation,ecy00629:Carbazole degradation,ecy00642:Ethylbenzene degradation,ecy00643:Styrene degradation,eum00360:Phenylalanine metabolism,eum00362:Benzoate degradation via hydroxylation,eum00621:Biphenyl degradation,eum00622:Toluene and xylene degradation,eum00627:1,4-Dichlorobenzene degradation,eum00628:Fluorene degradation,eum00629:Carbazole degradation,eum00642:Ethylbenzene degradation,eum00643:Styrene degradation,
prpD	2-methylcitrate dehydratase	Escherichia coli	ecc00640:Propanoate metabolism,ece00640:Propanoate metabolism,ecf00640:Propanoate metabolism,ecg00640:Propanoate metabolism,eci00640:Propanoate metabolism,ecj00640:Propanoate metabolism,eck00640:Propanoate metabolism,ecl00640:Propanoate metabolism,ecm00640:Propanoate metabolism,eco00640:Propanoate metabolism,ecp00640:Propanoate metabolism,ecq00640:Propanoate metabolism,ecr00640:Propanoate metabolism,ecs00640:Propanoate metabolism,ect00640:Propanoate metabolism,ecv00640:Propanoate metabolism,ecw00640:Propanoate metabolism,ecx00640:Propanoate metabolism,ecy00640:Propanoate metabolism,ecz00640:Propanoate metabolism,eum00640:Propanoate metabolism,
prpC	2-methylcitrate synthase	Escherichia coli	ecc00640:Propanoate metabolism,ece00640:Propanoate metabolism,ecf00640:Propanoate metabolism,ecg00640:Propanoate metabolism,eci00640:Propanoate metabolism,ecj00640:Propanoate metabolism,eck00640:Propanoate metabolism,ecm00640:Propanoate metabolism,eco00640:Propanoate metabolism,ecq00640:Propanoate metabolism,ecr00640:Propanoate metabolism,ect00640:Propanoate metabolism,ecv00640:Propanoate metabolism,ecw00640:Propanoate metabolism,ecx00640:Propanoate metabolism,ecz00640:Propanoate metabolism,eum00640:Propanoate metabolism,
ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	Escherichia coli	ecc00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecd00130:Ubiquinone and other terpenoid-quinone biosynthesis,ece00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecf00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecg00130:Ubiquinone and other terpenoid-quinone biosynthesis,eci00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecj00130:Ubiquinone and other terpenoid-quinone biosynthesis,eck00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecl00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecm00130:Ubiquinone and other terpenoid-quinone biosynthesis,eco00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecp00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecq00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecr00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecs00130:Ubiquinone and other terpenoid-quinone biosynthesis,ect00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecv00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecw00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecx00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecy00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecz00130:Ubiquinone and other terpenoid-quinone biosynthesis,eum00130:Ubiquinone and other terpenoid-quinone biosynthesis,
ubiH	2-octaprenyl-6-methoxyphenol hydroxylase	Escherichia coli	ecc00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecd00130:Ubiquinone and other terpenoid-quinone biosynthesis,ece00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecf00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecg00130:Ubiquinone and other terpenoid-quinone biosynthesis,eci00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecj00130:Ubiquinone and other terpenoid-quinone biosynthesis,eck00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecm00130:Ubiquinone and other terpenoid-quinone biosynthesis,eco00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecq00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecr00130:Ubiquinone and other terpenoid-quinone biosynthesis,ect00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecv00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecw00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecx00130:Ubiquinone and other terpenoid-quinone biosynthesis,ecz00130:Ubiquinone and other terpenoid-quinone biosynthesis,eum00130:Ubiquinone and other terpenoid-quinone biosynthesis,
