ID	specialConditions	Go_Annotation	Go_Annotaion_Type	SourceType	Go_Annotaion_Name
murF		GO:0047480	F	IDA	UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity
mraY		GO:0008963	F	IDA	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
murD		GO:0005737	C	IDA	cytoplasm
ftsW		GO:0051301	P	IMP	cell division
ftsW		GO:0008360	P	IMP	regulation of cell shape
ftsW		GO:0032153	C	IDA	cell division site
ftsW		GO:0051301	P	IMP	cell division
ftsW		GO:0005515	F	IPI	protein binding
murG		GO:0050511	F	IDA	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
murG		GO:0050511	F	IMP	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity
murC		GO:0008763	F	IDA	UDP-N-acetylmuramate-L-alanine ligase activity
murC		GO:0005515	F	IPI	protein binding
murC		GO:0000287	F	IDA	magnesium ion binding
murC		GO:0005524	F	IDA	ATP binding
ddlB		GO:0008716	F	IMP	D-alanine-D-alanine ligase activity
ddlB		GO:0008716	F	IDA	D-alanine-D-alanine ligase activity
ddlB		GO:0008716	F	IDA	D-alanine-D-alanine ligase activity
ftsQ		GO:0051301	P	IMP	cell division
ftsQ		GO:0000917	P	IMP	barrier septum assembly
ftsQ		GO:0005886	C	IMP	plasma membrane
ftsQ		GO:0016021	C	IDA	integral to membrane
ftsA		GO:0032153	C	IDA	cell division site
ftsA		GO:0051301	P	IMP	cell division
ftsA		GO:0051301	P	IMP	cell division
ftsZ		GO:0003924	F	IDA	GTPase activity
ftsZ		GO:0005737	C	IDA	cytoplasm
ftsZ		GO:0051258	P	IDA	protein polymerization
ftsZ		GO:0032153	C	IDA	cell division site
ftsZ		GO:0051301	P	IMP	cell division
ftsZ		GO:0005525	F	IDA	GTP binding
ftsZ		GO:0003924	F	IDA	GTPase activity
ftsZ		GO:0005525	F	IDA	GTP binding
ftsZ		GO:0005515	F	IPI	protein binding
ftsZ		GO:0005515	F	IPI	protein binding
ftsZ		GO:0005515	F	IPI	protein binding
ftsZ		GO:0051258	P	IDA	protein polymerization
lpxC		GO:0009245	P	IMP	lipid A biosynthetic process
lpxC		GO:0019213	F	IDA	deacetylase activity
secA		GO:0005515	F	IPI	protein binding
secA		GO:0065002	P	IMP	intracellular protein transmembrane transport
secA		GO:0015031	P	IMP	protein transport
secA		GO:0006605	P	IMP	protein targeting
secA		GO:0005737	C	IDA	cytoplasm
secA		GO:0005886	C	IDA	plasma membrane
secA		GO:0043952	P	IMP	protein transport by the Sec complex
nadC		GO:0005737	C	IDA	cytoplasm
nadC		GO:0004514	F	IDA	nicotinate-nucleotide diphosphorylase (carboxylating) activity
nadC		GO:0009435	P	IDA	NAD biosynthetic process
aceE		GO:0004738	F	IGI	pyruvate dehydrogenase activity
aceF		GO:0005737	C	IDA	cytoplasm
aceF		GO:0045254	C	IDA	pyruvate dehydrogenase complex
aceF		GO:0045254	C	IGI	pyruvate dehydrogenase complex
aceF		GO:0004742	F	IDA	dihydrolipoyllysine-residue acetyltransferase activity
aceF		GO:0031405	F	IDA	lipoic acid binding
aceF		GO:0006090	P	IMP	pyruvate metabolic process
aceF		GO:0006086	P	IMP	acetyl-CoA biosynthetic process from pyruvate
lpd		GO:0004148	F	IDA	dihydrolipoyl dehydrogenase activity
lpd		GO:0055114	P	IDA	oxidation-reduction process
lpd		GO:0006103	P	IMP	2-oxoglutarate metabolic process
lpd		GO:0008270	F	IDA	zinc ion binding
lpd		GO:0006090	P	IMP	pyruvate metabolic process
lpd		GO:0006103	P	IGI	2-oxoglutarate metabolic process
lpd		GO:0006090	P	IDA	pyruvate metabolic process
lpd		GO:0050660	F	IDA	flavin adenine dinucleotide binding
lpd		GO:0015036	F	IDA	disulfide oxidoreductase activity
lpd		GO:0005737	C	IDA	cytoplasm
acnB		GO:0003994	F	IDA	aconitate hydratase activity
acnB		GO:0006097	P	NAS	glyoxylate cycle
acnB		GO:0006099	P	NAS	tricarboxylic acid cycle
acnB		GO:0003729	F	IDA	mRNA binding
cueO		GO:0042597	C	IDA	periplasmic space
cueO		GO:0005507	F	IDA	copper ion binding
cueO		GO:0016722	F	IDA	oxidoreductase activity, oxidizing metal ions
hpt		GO:0004422	F	IMP	hypoxanthine phosphoribosyltransferase activity
hpt		GO:0032263	P	IDA	GMP salvage
hpt		GO:0032264	P	IDA	IMP salvage
hpt		GO:0004422	F	IDA	hypoxanthine phosphoribosyltransferase activity
can		GO:0004089	F	TAS	carbonate dehydratase activity
folK		GO:0003848	F	IDA	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
pcnB		GO:0004652	F	IDA	polynucleotide adenylyltransferase activity
pcnB		GO:0009451	P	IDA	RNA modification
pcnB		GO:0006397	P	IDA	mRNA processing
pcnB		GO:0006276	P	IMP	plasmid maintenance
pcnB		GO:0006378	P	IMP	mRNA polyadenylation
pcnB		GO:0009451	P	IMP	RNA modification
pcnB		GO:0003723	F	IMP	RNA binding
pcnB		GO:0009451	P	IGI	RNA modification
pcnB		GO:0005737	C	IDA	cytoplasm
pcnB		GO:0005737	C	IDA	cytoplasm
mrcB		GO:0008955	F	IDA	peptidoglycan glycosyltransferase activity
mrcB		GO:0009002	F	IDA	serine-type D-Ala-D-Ala carboxypeptidase activity
fhuA		GO:0046790	F	IMP	virion binding
fhuA		GO:0015643	F	IMP	toxin binding
fhuA		GO:0046790	F	IMP	virion binding
fhuA		GO:0005506	F	IPI	iron ion binding
fhuA		GO:0048037	F	IPI	cofactor binding
btuF		GO:0042597	C	IDA	periplasmic space
btuF		GO:0031419	F	IDA	cobalamin binding
btuF		GO:0015889	P	IMP	cobalamin transport
dgt		GO:0008832	F	IDA	dGTPase activity
dgt		GO:0003924	F	IDA	GTPase activity
dgt		GO:0030145	F	IDA	manganese ion binding
dgt		GO:0050897	F	IDA	cobalt ion binding
degP		GO:0006979	P	IEP	response to oxidative stress
degP		GO:0030288	C	IDA	outer membrane-bounded periplasmic space
degP		GO:0006508	P	IDA	proteolysis
degP		GO:0004252	F	IDA	serine-type endopeptidase activity
degP		GO:0004252	F	IMP	serine-type endopeptidase activity
degP		GO:0006515	P	IMP	misfolded or incompletely synthesized protein catabolic process
degP		GO:0009266	P	IEP	response to temperature stimulus
degP		GO:0006457	P	IMP	protein folding
rpsB		GO:0022627	C	IDA	cytosolic small ribosomal subunit
rpsB		GO:0008270	F	IDA	zinc ion binding
tsf		GO:0008270	F	IDA	zinc ion binding
rseP		GO:0005887	C	IDA	integral to plasma membrane
bamA		GO:0043165	P	IPI	Gram-negative-bacterium-type cell outer membrane assembly
bamA		GO:0005515	F	IPI	protein binding
skp		GO:0006457	P	IMP	protein folding
skp		GO:0030288	C	IDA	outer membrane-bounded periplasmic space
lpxD		GO:0016410	F	IDA	N-acyltransferase activity
lpxD		GO:0009245	P	IMP	lipid A biosynthetic process
lpxD		GO:0016410	F	IDA	N-acyltransferase activity
lpxA		GO:0008780	F	IDA	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
lpxA		GO:0005737	C	IDA	cytoplasm
lpxB		GO:0019897	C	IDA	extrinsic to plasma membrane
lpxB		GO:0005543	F	IDA	phospholipid binding
lpxB		GO:0008915	F	IDA	lipid-A-disaccharide synthase activity
lpxB		GO:0009245	P	IMP	lipid A biosynthetic process
lpxB		GO:0009245	P	IEP	lipid A biosynthetic process
dnaE		GO:0003887	F	IDA	DNA-directed DNA polymerase activity
dnaE		GO:0005737	C	IDA	cytoplasm
dnaE		GO:0003887	F	IDA	DNA-directed DNA polymerase activity
accA		GO:0006633	P	IGI	fatty acid biosynthetic process
accA		GO:0042759	P	NAS	long-chain fatty acid biosynthetic process
accA		GO:0005737	C	IC	cytoplasm
ldcC		GO:0008923	F	IDA	lysine decarboxylase activity
ldcC		GO:0006554	P	IDA	lysine catabolic process
tilS		GO:0006400	P	IDA	tRNA modification
tilS		GO:0032267	F	IDA	tRNA(Ile)-lysidine synthase activity
metN		GO:0005524	F	IDA	ATP binding
metN		GO:0016887	F	IDA	ATPase activity
metN		GO:0048474	F	IDA	D-methionine transmembrane transporter activity
mltD		GO:0051353	P	IMP	positive regulation of oxidoreductase activity
mltD		GO:0008933	F	NAS	lytic transglycosylase activity
mltD		GO:0016020	C	NAS	membrane
rnhA		GO:0004523	F	IDA	ribonuclease H activity
rnhA		GO:0003676	F	IDA	nucleic acid binding
rnhA		GO:0004519	F	IDA	endonuclease activity
dinB		GO:0006974	P	IEP	response to DNA damage stimulus
dinB		GO:0003887	F	IDA	DNA-directed DNA polymerase activity
dinB		GO:0000731	P	IDA	DNA synthesis involved in DNA repair
dinB		GO:0005737	C	IDA	cytoplasm
yafN		GO:0006974	P	IEP	response to DNA damage stimulus
pepD		GO:0043171	P	IGI	peptide catabolic process
mmuM		GO:0006974	P	IEP	response to DNA damage stimulus
argF		GO:0006974	P	IEP	response to DNA damage stimulus
paoC		GO:0005515	F	IPI	protein binding
paoC		GO:0006974	P	IEP	response to DNA damage stimulus
paoB		GO:0005515	F	IPI	protein binding
paoA		GO:0005515	F	IPI	protein binding
betT		GO:0006974	P	IEP	response to DNA damage stimulus
prpC		GO:0019679	P	IDA	propionate metabolic process, methylcitrate cycle
prpC		GO:0050440	F	IDA	2-methylcitrate synthase activity
prpD		GO:0047547	F	IDA	2-methylcitrate dehydratase activity
prpD		GO:0019679	P	IDA	propionate metabolic process, methylcitrate cycle
cynS		GO:0005737	C	IDA	cytoplasm
lacY		GO:0016020	C	IDA	membrane
lacY		GO:0030395	F	IDA	lactose binding
lacY		GO:0016021	C	IDA	integral to membrane
lacY		GO:0008643	P	IMP	carbohydrate transport
lacY		GO:0005351	F	IDA	sugar:hydrogen symporter activity
mhpC		GO:0016787	F	IDA	hydrolase activity
mhpC		GO:0019439	P	IMP	aromatic compound catabolic process
mhpC		GO:0016787	F	IDA	hydrolase activity
mhpC		GO:0005737	C	IDA	cytoplasm
mhpD		GO:0019439	P	NAS	aromatic compound catabolic process
mhpD		GO:0008684	F	IDA	2-oxopent-4-enoate hydratase activity
mhpD		GO:0005737	C	IDA	cytoplasm
mhpF		GO:0005515	F	IPI	protein binding
mhpF		GO:0008774	F	IDA	acetaldehyde dehydrogenase (acetylating) activity
mhpE		GO:0005515	F	IPI	protein binding
frmA		GO:0005737	C	IDA	cytoplasm
frmA		GO:0004024	F	IDA	alcohol dehydrogenase activity, zinc-dependent
frmA		GO:0008270	F	IDA	zinc ion binding
frmA		GO:0051903	F	IDA	S-(hydroxymethyl)glutathione dehydrogenase activity
frmA		GO:0046294	P	IMP	formaldehyde catabolic process
yaiP		GO:0006974	P	IEP	response to DNA damage stimulus
tauD		GO:0005737	C	IDA	cytoplasm
tauD		GO:0000908	F	IDA	taurine dioxygenase activity
tauD		GO:0006790	P	IMP	sulfur compound metabolic process
tauD		GO:0000908	F	IDA	taurine dioxygenase activity
hemB		GO:0004655	F	IMP	porphobilinogen synthase activity
hemB		GO:0006783	P	IMP	heme biosynthetic process
ddlA		GO:0008716	F	IDA	D-alanine-D-alanine ligase activity
phoA		GO:0030613	F	IDA	oxidoreductase activity, acting on phosphorus or arsenic in donors
aroL		GO:0009073	P	IMP	aromatic amino acid family biosynthetic process
brnQ		GO:0015803	P	IMP	branched-chain aliphatic amino acid transport
brnQ		GO:0015829	P	IMP	valine transport
brnQ		GO:0015818	P	IMP	isoleucine transport
brnQ		GO:0015820	P	IMP	leucine transport
secD		GO:0015031	P	IMP	protein transport
yajO		GO:0006772	P	EXP	thiamine metabolic process
xseB		GO:0008855	F	IMP	exodeoxyribonuclease VII activity
yajQ		GO:0005524	F	IDA	ATP binding
yajQ		GO:0000049	F	IDA	tRNA binding
cyoE		GO:0008495	F	IDA	protoheme IX farnesyltransferase activity
cyoE		GO:0048034	P	IDA	heme O biosynthetic process
cyoE		GO:0005886	C	IDA	plasma membrane
cyoB		GO:0005887	C	IDA	integral to plasma membrane
cyoA		GO:0005887	C	IDA	integral to plasma membrane
clpP		GO:0009408	P	IEP	response to heat
lon		GO:0004176	F	IDA	ATP-dependent peptidase activity
lon		GO:0016887	F	IDA	ATPase activity
lon		GO:0008233	F	IDA	peptidase activity
lon		GO:0006508	P	IDA	proteolysis
lon		GO:0004176	F	IDA	ATP-dependent peptidase activity
lon		GO:0005737	C	IDA	cytoplasm
lon		GO:0003677	F	IDA	DNA binding
lon		GO:0004252	F	IMP	serine-type endopeptidase activity
lon		GO:0009408	P	IEP	response to heat
cof		GO:0017110	F	IDA	nucleoside-diphosphatase activity
cof		GO:0009228	P	IMP	thiamine biosynthetic process
tesB		GO:0047617	F	IDA	acyl-CoA hydrolase activity
acrA		GO:0015238	F	IMP	drug transmembrane transporter activity
dnaX		GO:0006260	P	IMP	DNA replication
dnaX		GO:0017111	F	IDA	nucleoside-triphosphatase activity
dnaX		GO:0043846	C	IDA	DNA polymerase III, DnaX complex
dnaX		GO:0016887	F	IDA	ATPase activity
dnaX		GO:0030337	F	IDA	DNA polymerase processivity factor activity
dnaX		GO:0030337	F	IDA	DNA polymerase processivity factor activity
ybaB		GO:0003677	F	IDA	DNA binding
recR		GO:0000731	P	IMP	DNA synthesis involved in DNA repair
recR		GO:0009411	P	IMP	response to UV
htpG		GO:0009408	P	IEP	response to heat
htpG		GO:0006974	P	IEP	response to DNA damage stimulus
adk		GO:0006412	P	IMP	translation
adk		GO:0006172	P	IMP	ADP biosynthetic process
adk		GO:0008654	P	IMP	phospholipid biosynthetic process
adk		GO:0032774	P	IMP	RNA biosynthetic process
adk		GO:0004017	F	IMP	adenylate kinase activity
adk		GO:0000287	F	IDA	magnesium ion binding
hemH		GO:0004325	F	IMP	ferrochelatase activity
hemH		GO:0009416	P	IMP	response to light stimulus
hemH		GO:0004325	F	IMP	ferrochelatase activity
hemH		GO:0004325	F	IDA	ferrochelatase activity
hemH		GO:0006783	P	IDA	heme biosynthetic process
hemH		GO:0009416	P	IMP	response to light stimulus
hemH		GO:0006783	P	IMP	heme biosynthetic process
hemH		GO:0046501	P	IMP	protoporphyrinogen IX metabolic process
aes		GO:0034338	F	IDA	short-chain carboxylesterase activity
aes		GO:0005737	C	NAS	cytoplasm
aes		GO:0016787	F	IDA	hydrolase activity
fsr		GO:0006974	P	IEP	response to DNA damage stimulus
copA		GO:0031224	C	IDA	intrinsic to membrane
copA		GO:0015662	F	IDA	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
copA		GO:0015662	F	IDA	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism
copA		GO:0006825	P	IMP	copper ion transport
copA		GO:0010273	P	IMP	detoxification of copper ion
copA		GO:0016887	F	IDA	ATPase activity
ybaS		GO:0004359	F	IDA	glutaminase activity
ybaS		GO:0045926	P	IMP	negative regulation of growth
allR		GO:0006974	P	IEP	response to DNA damage stimulus
glxR		GO:0006974	P	IEP	response to DNA damage stimulus
allB		GO:0004038	F	IDA	allantoinase activity
allB		GO:0005737	C	IDA	cytoplasm
purK		GO:0004638	F	IDA	phosphoribosylaminoimidazole carboxylase activity
lpxH		GO:0008758	F	IMP	UDP-2,3-diacylglucosamine hydrolase activity
lpxH		GO:0009245	P	IMP	lipid A biosynthetic process
cysS		GO:0008270	F	IPI	zinc ion binding
cysS		GO:0046872	F	IPI	metal ion binding
cysS		GO:0005524	F	IPI	ATP binding
cysS		GO:0004812	F	IDA	aminoacyl-tRNA ligase activity
cysS		GO:0016874	F	IDA	ligase activity
cysS		GO:0004817	F	IDA	cysteine-tRNA ligase activity
cysS		GO:0006423	P	IDA	cysteinyl-tRNA aminoacylation
emrE		GO:0006805	P	IMP	xenobiotic metabolic process
emrE		GO:0016020	C	IDA	membrane
emrE		GO:0006810	P	IDA	transport
emrE		GO:0042493	P	IMP	response to drug
emrE		GO:0015297	F	IDA	antiporter activity
emrE		GO:0016021	C	IDA	integral to membrane
emrE		GO:0006974	P	IEP	response to DNA damage stimulus
ompT		GO:0031230	C	IDA	intrinsic to cell outer membrane
ompT		GO:0004175	F	IMP	endopeptidase activity
ompT		GO:0006508	P	IMP	proteolysis
ompT		GO:0031230	C	IDA	intrinsic to cell outer membrane
ompT		GO:0004252	F	IMP	serine-type endopeptidase activity
cusS		GO:0016020	C	NAS	membrane
cusS		GO:0016310	P	IDA	phosphorylation
cusS		GO:0000155	F	IDA	two-component sensor activity
cusS		GO:0016020	C	TAS	membrane
cusC		GO:0046688	P	IMP	response to copper ion
cusF		GO:0042597	C	IMP	periplasmic space
cusF		GO:0005507	F	IDA	copper ion binding
cusF		GO:0016530	F	IDA	metallochaperone activity
cusB		GO:0046688	P	IMP	response to copper ion
cusA		GO:0046688	P	IMP	response to copper ion
cusA		GO:0010272	P	IMP	response to silver ion
pheP		GO:0015823	P	IGI	phenylalanine transport
ybdG		GO:0006970	P	IGI	response to osmotic stress
hokE		GO:0006974	P	IEP	response to DNA damage stimulus
entD		GO:0031226	C	IDA	intrinsic to plasma membrane
entD		GO:0005887	C	ISM	integral to plasma membrane
fes		GO:0008849	F	IDA	enterochelin esterase activity
entS		GO:0042930	P	IMP	enterobactin transport
fepB		GO:0006974	P	IEP	response to DNA damage stimulus
entC		GO:0009239	P	IMP	enterobactin biosynthetic process
entC		GO:0008909	F	IDA	isochorismate synthase activity
entB		GO:0016765	F	IMP	transferase activity, transferring alkyl or aryl (other than methyl) groups
dsbG		GO:0003756	F	IMP	protein disulfide isomerase activity
ahpC		GO:0004601	F	IGI	peroxidase activity
ahpC		GO:0005737	C	IDA	cytoplasm
ahpC		GO:0009970	P	IDA	cellular response to sulfate starvation
ahpC		GO:0032843	F	IDA	hydroperoxide reductase activity
ahpC		GO:0016684	F	IMP	oxidoreductase activity, acting on peroxide as acceptor
ahpF		GO:0050660	F	ISM	flavin adenine dinucleotide binding
ahpF		GO:0070402	F	ISM	NADPH binding
ahpF		GO:0008785	F	IGI	alkyl hydroperoxide reductase activity
uspG		GO:0005737	C	IDA	cytoplasm
uspG		GO:0046777	P	IDA	protein autophosphorylation
uspG		GO:0005515	F	IPI	protein binding
uspG		GO:0004017	F	IDA	adenylate kinase activity
uspG		GO:0018117	P	IDA	protein adenylylation
dcuC		GO:0015740	P	IGI	C4-dicarboxylate transport
cspE		GO:0003723	F	IDA	RNA binding
cspE		GO:0003697	F	IDA	single-stranded DNA binding
cspE		GO:0001072	F	IDA	RNA binding transcription antitermination factor activity
cspE		GO:0060567	P	IDA	negative regulation of transcription termination, DNA-dependent
tatE		GO:0008565	F	IGI	protein transporter activity
lipA		GO:0016992	F	IDA	lipoate synthase activity
lipA		GO:0005737	C	IDA	cytoplasm
lipA		GO:0051539	F	IDA	4 iron, 4 sulfur cluster binding
lipA		GO:0009249	P	IDA	protein lipoylation
lipA		GO:0009107	P	IMP	lipoate biosynthetic process
lipB		GO:0016740	F	IDA	transferase activity
lipB		GO:0006464	P	IDA	cellular protein modification process
lipB		GO:0003824	F	IDA	catalytic activity
lipB		GO:0009107	P	IMP	lipoate biosynthetic process
lipB		GO:0009106	P	IMP	lipoate metabolic process
lipB		GO:0010629	P	IMP	negative regulation of gene expression
dacA		GO:0009002	F	IMP	serine-type D-Ala-D-Ala carboxypeptidase activity
dacA		GO:0009002	F	IDA	serine-type D-Ala-D-Ala carboxypeptidase activity
dacA		GO:0005887	C	IDA	integral to plasma membrane
mrdB		GO:0008360	P	IMP	regulation of cell shape
mrdA		GO:0071972	F	IDA	peptidoglycan L,D-transpeptidase activity
mrdA		GO:0046677	P	IMP	response to antibiotic
mrdA		GO:0005887	C	IDA	integral to plasma membrane
mrdA		GO:0008658	F	IMP	penicillin binding
mrdA		GO:0008360	P	IMP	regulation of cell shape
lptE		GO:0005515	F	IPI	protein binding
lptE		GO:0043165	P	IGI	Gram-negative-bacterium-type cell outer membrane assembly
lptE		GO:0015920	P	IMP	lipopolysaccharide transport
rihA		GO:0047405	F	IDA	pyrimidine-5'-nucleotide nucleosidase activity
rihA		GO:0005509	F	IDA	calcium ion binding
rihA		GO:0005515	F	IPI	protein binding
ybeY		GO:0006412	P	IMP	translation
ybeY		GO:0016151	F	IDA	nickel cation binding
ubiF		GO:0008682	F	IMP	2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity
asnB		GO:0005737	C	IDA	cytoplasm
asnB		GO:0008652	P	IMP	cellular amino acid biosynthetic process
asnB		GO:0006529	P	IMP	asparagine biosynthetic process
asnB		GO:0009063	P	IMP	cellular amino acid catabolic process
asnB		GO:0004066	F	IMP	asparagine synthase (glutamine-hydrolyzing) activity
asnB		GO:0005524	F	IDA	ATP binding
asnB		GO:0006541	P	IMP	glutamine metabolic process
asnB		GO:0016597	F	IDA	amino acid binding
asnB		GO:0005737	C	IDA	cytoplasm
nagE		GO:0006974	P	IEP	response to DNA damage stimulus
fur		GO:0008270	F	IDA	zinc ion binding
fldA		GO:0005737	C	IDA	cytoplasm
ybfE		GO:0006974	P	IEP	response to DNA damage stimulus
ybfF		GO:0016290	F	ISS	palmitoyl-CoA hydrolase activity
pgm		GO:0004614	F	IMP	phosphoglucomutase activity
kdpB		GO:0008556	F	IMP	potassium-transporting ATPase activity
kdpB		GO:0016021	C	IDA	integral to membrane
kdpB		GO:0006813	P	IMP	potassium ion transport
nei		GO:0003906	F	IDA	DNA-(apurinic or apyrimidinic site) lyase activity
nei		GO:0008270	F	IDA	zinc ion binding
nei		GO:0003684	F	IDA	damaged DNA binding
nei		GO:0003684	F	IDA	damaged DNA binding
nei		GO:0006284	P	IDA	base-excision repair
nei		GO:0003906	F	IDA	DNA-(apurinic or apyrimidinic site) lyase activity
