Protein_id,gene_name,mRNA_ID,b#
YP_003043317.1,mraY,ECB_00088,b0087
YP_003043318.1,murD,ECB_00089,b0088
YP_003043319.1,ftsW,ECB_00090,b0089
YP_003043320.1,murG,ECB_00091,b0090
YP_003043321.1,murC,ECB_00092,b0091
YP_003043322.1,ddl,ECB_00093,b0092
YP_003043555.1,ddl,ECB_00328,b0092
YP_003043323.1,ftsQ,ECB_00094,b0093
YP_003043324.1,ftsA,ECB_00095,b0094
YP_003043325.1,ftsZ,ECB_00096,b0095
YP_003043326.1,lpxC,ECB_00097,b0096
YP_003043327.1,yacA,ECB_00098,b0097
YP_003043328.1,secA,ECB_00099,b0098
YP_003043329.1,mutT,ECB_00100,b0099
YP_003043330.1,yacG,ECB_00101,b0101
YP_003043331.1,yacF,ECB_00102,b0102
YP_003043332.1,coaE,ECB_00103,b0103
YP_003043333.1,guaC,ECB_00104,b0104
YP_003043334.1,hofC,ECB_00105,b0106
YP_003043335.1,hofB,ECB_00106,b0107
YP_003043336.1,ppdD,ECB_00107,b0108
YP_003043337.1,nadC,ECB_00108,b0109
YP_003043338.1,ampD,ECB_00109,b0110
YP_003043339.1,ampE,ECB_00110,b0111
YP_003043340.1,aroP,ECB_00111,b0112
YP_003043341.1,pdhR,ECB_00112,b0113
YP_003043342.1,aceE,ECB_00113,b0114
YP_003043343.1,aceF,ECB_00114,b0115
YP_003043344.1,lpdA,ECB_00115,b0116
YP_003043345.1,yacH,ECB_00116,b0117
YP_003043346.1,acnB,ECB_00117,b0118
YP_003043347.1,yacL,ECB_00118,b0119
YP_003043348.1,speD,ECB_00119,b0120
YP_003043349.1,speE,ECB_00120,b0121
YP_003043350.1,yacC,ECB_00121,b0122
YP_003043351.1,cueO,ECB_00122,b0123
YP_003043352.1,gcd,ECB_00123,b0124
YP_003043353.1,hpt,ECB_00124,b0125
YP_003043354.1,yadF,ECB_00125,b0126
YP_003043355.1,yadG,ECB_00126,b0127
YP_003043356.1,yadH,ECB_00127,b0128
YP_003043357.1,yadI,ECB_00128,b0129
YP_003043358.1,yadE,ECB_00129,b0130
YP_003043359.1,panD,ECB_00130,b0131
YP_003043360.1,yadD,ECB_00131,b0132
YP_003043361.1,panC,ECB_00132,b0133
YP_003043362.1,panB,ECB_00133,b0134
YP_003043363.1,yadC,ECB_00134,b0135
YP_003043364.1,yadK,ECB_00135,b0136
YP_003043365.1,yadL,ECB_00136,b0137
YP_003043366.1,yadM,ECB_00137,b0138
YP_003043367.1,htrE,ECB_00138,b0139
YP_003043369.1,yadN,ECB_00140,b0141
YP_003043370.1,folK,ECB_00141,b0142
YP_003043371.1,pcnB,ECB_00142,b0143
YP_003043372.1,yadB,ECB_00143,b0144
YP_003043373.1,dksA,ECB_00144,b0145
YP_003043374.1,sfsA,ECB_00145,b0146
YP_003043375.1,ligT,ECB_00146,b0147
YP_003043376.1,hrpB,ECB_00147,b0148
YP_003043377.1,mrcB,ECB_00148,b0149
YP_003043378.1,fhuA,ECB_00149,b0150
YP_003043379.1,fhuC,ECB_00150,b0151
YP_003043380.1,fhuD,ECB_00151,b0152
YP_003043381.1,fhuB,ECB_00152,b0153
YP_003043382.1,hemL,ECB_00153,b0154
YP_003043383.1,yadQ,ECB_00154,b0155
YP_003043384.1,yadR,ECB_00155,b0156
YP_003043385.1,yadS,ECB_00156,b0157
YP_003043386.1,yadT,ECB_00157,b0158
YP_003043387.1,pfs,ECB_00158,b0159
YP_003043388.1,dgt,ECB_00159,b0160
YP_003043389.1,degP,ECB_00160,b0161
YP_003043390.1,cdaR,ECB_00161,b0162
YP_003043391.1,yaeH,ECB_00162,b0163
YP_003043392.1,yaeI,ECB_00163,b0164
YP_003043393.1,dapD,ECB_00164,b0166
YP_003043394.1,glnD,ECB_00165,b0167
YP_003043395.1,map,ECB_00166,b0168
YP_003043396.1,rpsB,ECB_00167,b0169
YP_003043397.1,tsf,ECB_00168,b0170
YP_003043398.1,pyrH,ECB_00169,b0171
YP_003043399.1,frr,ECB_00170,b0172
YP_003043400.1,ispC,ECB_00171,b0173
YP_003043401.1,uppS,ECB_00172,b0174
YP_003043402.1,cdsA,ECB_00173,b0175
YP_003043403.1,yaeL,ECB_00174,b0176
YP_003043404.1,yaeT,ECB_00175,b0177
YP_003043405.1,hlpA,ECB_00176,b0178
YP_003043406.1,lpxD,ECB_00177,b0179
YP_003043407.1,fabZ,ECB_00178,b0180
YP_003043408.1,lpxA,ECB_00179,b0181
YP_003043409.1,lpxB,ECB_00180,b0182
YP_003043410.1,rnhB,ECB_00181,b0183
YP_003043411.1,dnaE,ECB_00182,b0184
YP_003043412.1,accA,ECB_00183,b0185
YP_003043413.1,ldcC,ECB_00184,b0186
YP_003043414.1,yaeR,ECB_00185,b0187
YP_003043415.1,tilS,ECB_00186,b0188
YP_003043416.1,rof,ECB_00187,b0189
YP_003043418.1,yaeQ,ECB_00189,b0190
YP_003043419.1,yaeJ,ECB_00190,b0191
YP_003043420.1,cutF,ECB_00191,b0192
YP_003043421.1,yaeF,ECB_00192,b0193
YP_003043422.1,proS,ECB_00193,b0194
YP_003043423.1,yaeB,ECB_00194,b0195
YP_003043424.1,rcsF,ECB_00195,b0196
YP_003043425.1,metQ,ECB_00196,b0197
YP_003043426.1,metI,ECB_00197,b0198
YP_003043427.1,metN,ECB_00198,b0199
YP_003043428.1,gmhB,ECB_00199,b0200
YP_003043429.1,dkgB,ECB_00200,b0207
YP_003043430.1,yafC,ECB_00201,b0208
YP_003043431.1,yafD,ECB_00202,b0209
YP_003043432.1,yafE,ECB_00203,b0210
YP_003043433.1,mltD,ECB_00204,b0211
YP_003043434.1,gloB,ECB_00205,b0212
YP_003043435.1,yafS,ECB_00206,b0213
YP_003043436.1,rnhA,ECB_00207,b0214
YP_003043437.1,dnaQ,ECB_00208,b0215
YP_003043438.1,yafT,ECB_00209,b0217
YP_003043443.1,yafV,ECB_00214,b0219
YP_003043444.1,ykfE,ECB_00215,b0220
YP_003043445.1,fadE,ECB_00216,b0221
YP_003043446.1,gmhA,ECB_00217,b0222
YP_003043447.1,yafJ,ECB_00218,b0223
YP_003043448.1,yafK,ECB_00219,b0224
YP_003043449.1,yafQ,ECB_00220,b0225
YP_003043450.1,dinJ,ECB_00221,b0226
YP_003043451.1,yafL,ECB_00222,b0227
YP_003043452.1,yafM,ECB_00223,b0228
YP_003043453.1,dinB,ECB_00226,b0231
YP_003043454.1,yafN,ECB_00227,b0232
YP_003043455.1,yafO,ECB_00228,b0233
YP_003043456.1,yafP,ECB_00229,b0234
YP_003043459.1,pepD,ECB_00232,b0237
YP_003043460.1,gpt,ECB_00233,b0238
YP_003043461.1,frsA,ECB_00234,b0239
YP_003043465.1,phoE,ECB_00238,b0241
YP_003043466.1,proB,ECB_00239,b0242
YP_003043467.1,proA,ECB_00240,b0243
YP_003045990.1,yafZ,ECB_02803,b0252
YP_003043469.1,yagQ,ECB_00242,b0283
YP_003043470.1,yagR,ECB_00243,b0284
YP_003043471.1,yagS,ECB_00244,b0285
YP_003043472.1,yagT,ECB_00245,b0286
YP_003043473.1,yagU,ECB_00246,b0287
YP_003043474.1,ykgJ,ECB_00247,b0288
YP_003043475.1,yagV,ECB_00248,b0289
YP_003043368.1,ecpD,ECB_00139,b0290
YP_003043476.1,yagW,ECB_00249,b0290
YP_003043477.1,yagX,ECB_00250,b0291
YP_003043478.1,yagY,ECB_00251,b0292
YP_003043479.1,yagZ,ECB_00252,b0293
YP_003043480.1,ykgK,ECB_00253,b0294
YP_003043481.1,ykgL,ECB_00254,b0295
YP_003043482.1,rpmE2,ECB_00255,b0296
YP_003043485.1,ykgB,ECB_00258,b0303
YP_003043486.1,ykgI,ECB_00259,b0303
YP_003043487.1,ykgC,ECB_00260,b0304
YP_003043488.1,ykgD,ECB_00261,b0305
YP_003043489.1,ykgE,ECB_00262,b0306
YP_003043490.1,ykgF,ECB_00263,b0307
YP_003043491.1,ykgG,ECB_00264,b0308
YP_003043493.1,ykgH,ECB_00266,b0310
YP_003043494.1,betA,ECB_00267,b0311
YP_003043495.1,betB,ECB_00268,b0312
YP_003043496.1,betI,ECB_00269,b0313
YP_003043497.1,betT,ECB_00270,b0314
YP_003043498.1,yahA,ECB_00271,b0315
YP_003043499.1,yahB,ECB_00272,b0316
YP_003043500.1,yahC,ECB_00273,b0317
YP_003043501.1,yahD,ECB_00274,b0318
YP_003043502.1,yahE,ECB_00275,b0319
YP_003043503.1,yahF,ECB_00276,b0320
YP_003043504.1,yahG,ECB_00277,b0321
YP_003043505.1,yahI,ECB_00278,b0323
YP_003043506.1,yahJ,ECB_00279,b0324
YP_003043507.1,yahK,ECB_00280,b0325
YP_003043508.1,yahL,ECB_00281,b0326
YP_003043509.1,yahM,ECB_00282,b0327
YP_003043510.1,yahN,ECB_00283,b0328
YP_003043511.1,yahO,ECB_00284,b0329
YP_003043512.1,prpR,ECB_00285,b0330
YP_003043513.1,prpB,ECB_00286,b0331
YP_003043514.1,prpC,ECB_00287,b0333
YP_003043515.1,prpD,ECB_00288,b0334
YP_003043516.1,prpE,ECB_00289,b0335
YP_003043517.1,codB,ECB_00290,b0336
YP_003043518.1,codA,ECB_00291,b0337
YP_003043519.1,cynR,ECB_00292,b0338
YP_003043520.1,cynT,ECB_00293,b0339
YP_003043521.1,cynS,ECB_00294,b0340
YP_003043522.1,cynX,ECB_00295,b0341
YP_003043523.1,lacA,ECB_00296,b0342
YP_003043524.1,lacY,ECB_00297,b0343
YP_003043525.1,lacZ,ECB_00298,b0344
YP_003043526.1,lacI,ECB_00299,b0345
YP_003043527.1,mhpR,ECB_00300,b0346
YP_003043528.1,mhpA,ECB_00301,b0347
YP_003043529.1,mhpB,ECB_00302,b0348
YP_003043530.1,mhpC,ECB_00303,b0349
YP_003043531.1,mhpD,ECB_00304,b0350
YP_003043532.1,mhpF,ECB_00305,b0351
YP_003043533.1,mhpE,ECB_00306,b0352
YP_003043534.1,mhpT,ECB_00307,b0353
YP_003043535.1,yaiL,ECB_00308,b0354
YP_003043536.1,frmB,ECB_00309,b0355
YP_003043537.1,frmA,ECB_00310,b0356
YP_003043538.1,frmR,ECB_00311,b0357
YP_003043539.1,yaiO,ECB_00312,b0358
YP_003043542.1,tauA,ECB_00315,b0365
YP_003043543.1,tauB,ECB_00316,b0366
YP_003043544.1,tauC,ECB_00317,b0367
YP_003043545.1,tauD,ECB_00318,b0368
YP_003043546.1,hemB,ECB_00319,b0369
YP_003043549.1,yaiV,ECB_00322,b0375
YP_003043550.1,ampH,ECB_00323,b0376
YP_003043551.1,sbmA,ECB_00324,b0377
YP_003043552.1,yaiW,ECB_00325,b0378
YP_003043553.1,yaiY,ECB_00326,b0379
YP_003043554.1,yaiZ,ECB_00327,b0380
YP_003043556.1,yaiB,ECB_00329,b0382
YP_003043557.1,phoA,ECB_00330,b0383
YP_003043558.1,psiF,ECB_00331,b0384
YP_003043559.1,adrA,ECB_00332,b0385
YP_003043560.1,proC,ECB_00333,b0386
YP_003043561.1,yaiI,ECB_00334,b0387
YP_003043562.1,aroL,ECB_00335,b0388
YP_003043563.1,yaiA,ECB_00336,b0389
YP_003043564.1,aroM,ECB_00337,b0390
YP_003043565.1,yaiE,ECB_00338,b0391
YP_003043569.1,rdgC,ECB_00342,b0393
YP_003043570.1,yajF,ECB_00343,b0394
YP_003043571.1,araJ,ECB_00344,b0396
YP_003043572.1,sbcC,ECB_00345,b0397
YP_003043573.1,sbcD,ECB_00346,b0398
YP_003043574.1,phoB,ECB_00347,b0399
YP_003043575.1,phoR,ECB_00348,b0400
YP_003043576.1,brnQ,ECB_00349,b0401
YP_003043577.1,proY,ECB_00350,b0402
YP_003043578.1,malZ,ECB_00351,b0403
YP_003043579.1,queA,ECB_00353,b0405
YP_003043580.1,tgt,ECB_00354,b0406
YP_003043581.1,yajC,ECB_00355,b0407
YP_003043582.1,secD,ECB_00356,b0408
YP_003043583.1,secF,ECB_00357,b0409
YP_003043584.1,yajD,ECB_00358,b0410
YP_003043585.1,tsx,ECB_00359,b0411
YP_003043586.1,yajI,ECB_00360,b0412
YP_003043587.1,nrdR,ECB_00361,b0413
YP_003043588.1,ribD,ECB_00362,b0414
YP_003043589.1,ribH,ECB_00363,b0415
YP_003043590.1,nusB,ECB_00364,b0416
YP_003043591.1,thiL,ECB_00365,b0417
YP_003043592.1,pgpA,ECB_00366,b0418
YP_003043593.1,yajO,ECB_00367,b0419
YP_003043594.1,dxs,ECB_00368,b0420
YP_003043595.1,ispA,ECB_00369,b0421
YP_003043596.1,xseB,ECB_00370,b0422
YP_003043597.1,thiI,ECB_00371,b0423
YP_003043598.1,thiJ,ECB_00372,b0424
YP_003043599.1,apbA,ECB_00373,b0425
YP_003043600.1,yajQ,ECB_00374,b0426
YP_003043601.1,yajR,ECB_00375,b0427
YP_003043605.1,cyoE,ECB_00379,b0428
YP_003043606.1,cyoD,ECB_00380,b0429
YP_003043607.1,cyoC,ECB_00381,b0430
YP_003043608.1,cyoB,ECB_00382,b0431
YP_003043609.1,cyoA,ECB_00383,b0432
YP_003043610.1,ampG,ECB_00384,b0433
YP_003043611.1,yajG,ECB_00385,b0434
YP_003043612.1,bolA,ECB_00386,b0435
YP_003043613.1,tig,ECB_00387,b0436
YP_003043614.1,clpP,ECB_00388,b0437
YP_003043615.1,clpX,ECB_00389,b0438
YP_003043617.1,lon,ECB_00391,b0439
YP_003043618.1,hupB,ECB_00392,b0440
YP_003043619.1,ppiD,ECB_00393,b0441
YP_003043620.1,ybaV,ECB_00394,b0442
YP_003043621.1,ybaW,ECB_00395,b0443
YP_003043622.1,ybaX,ECB_00396,b0444
YP_003043623.1,ybaE,ECB_00397,b0445
YP_003043624.1,cof,ECB_00398,b0446
YP_003043625.1,ybaO,ECB_00399,b0447
YP_003043626.1,mdlA,ECB_00400,b0448
YP_003043627.1,mdlB,ECB_00401,b0449
YP_003043628.1,glnK,ECB_00402,b0450
YP_003043629.1,amtB,ECB_00403,b0451
YP_003043630.1,tesB,ECB_00404,b0452
YP_003043631.1,ybaY,ECB_00405,b0453
YP_003043632.1,ybaZ,ECB_00406,b0454
YP_003043633.1,ybaA,ECB_00407,b0456
YP_003043634.1,ylaB,ECB_00408,b0457
YP_003043635.1,ylaC,ECB_00409,b0458
YP_003043636.1,maa,ECB_00410,b0459
YP_003043637.1,hha,ECB_00411,b0460
YP_003043638.1,ybaJ,ECB_00412,b0461
YP_003043639.1,acrB,ECB_00413,b0462
YP_003043640.1,acrA,ECB_00414,b0463
YP_003043641.1,acrR,ECB_00415,b0464
YP_003043642.1,kefA,ECB_00416,b0465
YP_003043643.1,ybaM,ECB_00417,b0466
YP_003043644.1,priC,ECB_00418,b0467
YP_003043645.1,ybaN,ECB_00419,b0468
YP_003043646.1,apt,ECB_00420,b0469
YP_003043647.1,dnaX,ECB_00421,b0470
YP_003043648.1,ybaB,ECB_00422,b0471
YP_003043649.1,recR,ECB_00423,b0472
YP_003043650.1,htpG,ECB_00424,b0473
YP_003043651.1,adk,ECB_00425,b0474
YP_003043652.1,hemH,ECB_00426,b0475
YP_003043653.1,aes,ECB_00427,b0476
YP_003043654.1,gsk,ECB_00428,b0477
YP_003043655.1,ybaL,ECB_00429,b0478
YP_003043656.1,fsr,ECB_00430,b0479
YP_003043657.1,ushA,ECB_00431,b0480
YP_003043658.1,ybaK,ECB_00432,b0481
YP_003043659.1,ybaP,ECB_00433,b0482
YP_003043660.1,ybaQ,ECB_00434,b0483
YP_003043661.1,copA,ECB_00435,b0484
YP_003043662.1,ybaS,ECB_00436,b0485
YP_003043663.1,ybaT,ECB_00437,b0486
YP_003043664.1,cueR,ECB_00438,b0487
YP_003043665.1,ybbJ,ECB_00439,b0488
YP_003043666.1,ybbK,ECB_00440,b0489
YP_003043667.1,ybbL,ECB_00441,b0490
YP_003043668.1,ybbM,ECB_00442,b0491
YP_003043669.1,ybbN,ECB_00443,b0492
YP_003043670.1,ybbO,ECB_00444,b0493
YP_003043671.1,tesA,ECB_00445,b0494
YP_003043672.1,ybbA,ECB_00446,b0495
YP_003043673.1,ybbP,ECB_00447,b0496
YP_003043674.1,rhsD,ECB_00448,b0497
YP_003043675.1,ybbC,ECB_00449,b0498
YP_003043676.1,ylbH,ECB_00450,b0499
YP_003043679.1,ybbB,ECB_00453,b0503
YP_003043680.1,ybbS,ECB_00454,b0504
YP_003043681.1,allA,ECB_00455,b0505
YP_003043682.1,allR,ECB_00456,b0506
YP_003043683.1,gcl,ECB_00457,b0507
YP_003043684.1,hyi,ECB_00458,b0508
YP_003043685.1,glxR,ECB_00459,b0509
YP_003043687.1,allP,ECB_00461,b0511
YP_003043688.1,allB,ECB_00462,b0512
YP_003043689.1,ybbY,ECB_00463,b0513
YP_003043690.1,glxK,ECB_00464,b0514
YP_003043691.1,ylbA,ECB_00465,b0515
YP_003043692.1,allC,ECB_00466,b0516
YP_003043693.1,allD,ECB_00467,b0517
YP_003043694.1,fdrA,ECB_00468,b0518
YP_003043696.1,ylbF,ECB_00470,b0520
YP_003043697.1,arcC,ECB_00471,b0521
YP_003043698.1,purK,ECB_00472,b0522
YP_003043699.1,purE,ECB_00473,b0523
YP_003043700.1,ybbF,ECB_00474,b0524
YP_003043701.1,ppiB,ECB_00475,b0525
YP_003043702.1,cysS,ECB_00476,b0526
YP_003043703.1,ybcI,ECB_00477,b0527
YP_003043704.1,ybcJ,ECB_00478,b0528
YP_003043705.1,folD,ECB_00479,b0529
YP_003043706.1,sfmA,ECB_00480,b0530
YP_003043707.1,sfmC,ECB_00481,b0531
YP_003043708.1,sfmD,ECB_00482,b0532
YP_003043709.1,sfmH,ECB_00483,b0533
YP_003043710.1,sfmF,ECB_00484,b0534
YP_003043711.1,fimZ,ECB_00485,b0535
YP_003043712.1,intD,ECB_00486,b0537
YP_003043718.1,emrE,ECB_00493,b0543
YP_003043719.1,ybcK,ECB_00494,b0544
YP_003043720.1,ybcL,ECB_00495,b0545
YP_003043721.1,ybcM,ECB_00496,b0546
YP_003043722.1,ybcN,ECB_00497,b0547
YP_003043723.1,ninE,ECB_00498,b0548
YP_003043724.1,ybcO,ECB_00499,b0549
YP_003043727.1,ybcQ,ECB_00502,b0551
YP_003043730.1,ybcR,ECB_00506,b0554
YP_003043731.1,ybcS,ECB_00507,b0555
YP_003043732.1,ybcT,ECB_00508,b0556
YP_003043733.1,ybcU,ECB_00509,b0557
YP_003044716.1,ybcW,ECB_01513,b0559
YP_003043735.1,nohB,ECB_00511,b0560
YP_003043742.1,appY,ECB_00518,b0564
YP_003043743.1,ompT,ECB_00519,b0565
YP_003043744.1,envY,ECB_00520,b0566
YP_003043745.1,ybcH,ECB_00521,b0567
YP_003043746.1,nfrA,ECB_00522,b0568
YP_003043754.1,cusS,ECB_00531,b0570
YP_003043755.1,cusR,ECB_00532,b0571
YP_003043756.1,cusC,ECB_00533,b0572
YP_003043757.1,ylcC,ECB_00534,b0573
YP_003043758.1,cusB,ECB_00535,b0574
YP_003043759.1,cusA,ECB_00536,b0575
YP_003043760.1,pheP,ECB_00537,b0576
YP_003043761.1,ybdG,ECB_00538,b0577
YP_003043762.1,nfnB,ECB_00539,b0578
YP_003043763.1,ybdF,ECB_00540,b0579
YP_003043764.1,ybdJ,ECB_00541,b0580
YP_003043765.1,ybdK,ECB_00542,b0581
YP_003043771.1,entD,ECB_00549,b0583
YP_003043772.1,fepA,ECB_00550,b0584
YP_003043773.1,fes,ECB_00551,b0585
YP_003043775.1,entF,ECB_00553,b0586
YP_003043776.1,fepE,ECB_00554,b0587
YP_003043777.1,fepC,ECB_00555,b0588
YP_003043778.1,fepG,ECB_00556,b0589
YP_003043779.1,fepD,ECB_00557,b0590
YP_003043780.1,ybdA,ECB_00558,b0591
YP_003043781.1,fepB,ECB_00559,b0592
YP_003043782.1,entC,ECB_00560,b0593
YP_003043783.1,entE,ECB_00561,b0594
YP_003043784.1,entB,ECB_00562,b0595
YP_003043785.1,entA,ECB_00563,b0596
YP_003043786.1,ybdB,ECB_00564,b0597
YP_003043788.1,ybdH,ECB_00567,b0599
YP_003043789.1,ybdL,ECB_00568,b0600
YP_003043790.1,ybdM,ECB_00569,b0601
YP_003043791.1,ybdN,ECB_00570,b0602
YP_003043794.1,dsbG,ECB_00573,b0604
YP_003043795.1,ahpC,ECB_00574,b0605
YP_003043796.1,ahpF,ECB_00575,b0606
YP_003043797.1,ybdQ,ECB_00576,b0607
YP_003043798.1,ybdR,ECB_00577,b0608
YP_003043799.1,rnk,ECB_00578,b0610
YP_003043800.1,rna,ECB_00579,b0611
YP_003043801.1,citT,ECB_00580,b0612
YP_003043802.1,citG,ECB_00581,b0613
YP_003043803.1,citX,ECB_00582,b0614
YP_003043804.1,citF,ECB_00583,b0615
YP_003043805.1,citE,ECB_00584,b0616
YP_003043806.1,citD,ECB_00585,b0617
YP_003043807.1,citC,ECB_00586,b0618
YP_003043810.1,citA,ECB_00589,b0619
YP_003043811.1,dpiA,ECB_00590,b0620
YP_003043812.1,dcuC,ECB_00591,b0621
YP_003043813.1,pagP,ECB_00592,b0622
YP_003043814.1,cspE,ECB_00593,b0623
YP_003043817.1,tatE,ECB_00596,b0627
YP_003043818.1,lipA,ECB_00597,b0628
YP_003043819.1,ybeF,ECB_00598,b0629
YP_003043820.1,lipB,ECB_00599,b0630
YP_003043821.1,ybeD,ECB_00600,b0631
YP_003043822.1,dacA,ECB_00601,b0632
YP_003043823.1,rlpA,ECB_00602,b0633
YP_003043824.1,mrdB,ECB_00603,b0634
YP_003043825.1,mrdA,ECB_00604,b0635
YP_003043826.1,ybeA,ECB_00605,b0636
YP_003043827.1,ybeB,ECB_00606,b0637
YP_003043828.1,phpB,ECB_00607,b0638
YP_003043829.1,nadD,ECB_00608,b0639
YP_003043830.1,holA,ECB_00609,b0640
YP_003043831.1,rlpB,ECB_00610,b0641
YP_003043832.1,leuS,ECB_00611,b0642
YP_003043833.1,ybeL,ECB_00612,b0643
YP_003043834.1,ybeR,ECB_00614,b0645
YP_003043835.1,ybeV,ECB_00615,b0649
YP_003043836.1,hscC,ECB_00616,b0650
YP_003043837.1,rihA,ECB_00617,b0651
YP_003043840.1,gltK,ECB_00621,b0653
YP_003043841.1,gltJ,ECB_00622,b0654
YP_003043842.1,gltI,ECB_00623,b0655
YP_003043844.1,lnt,ECB_00625,b0657
YP_003043845.1,ybeX,ECB_00626,b0658
YP_003043846.1,ybeY,ECB_00627,b0659
YP_003043847.1,ybeZ,ECB_00628,b0660
YP_003043848.1,yleA,ECB_00629,b0661
YP_003043849.1,ubiF,ECB_00630,b0662
YP_003043850.1,asnB,ECB_00631,b0674
YP_003043851.1,nagD,ECB_00632,b0675
YP_003043852.1,nagC,ECB_00633,b0676
YP_003043853.1,nagA,ECB_00634,b0677
YP_003043854.1,nagB,ECB_00635,b0678
YP_003043855.1,nagE,ECB_00636,b0679
YP_003043856.1,glnS,ECB_00637,b0680
YP_003043857.1,ybfM,ECB_00638,b0681
YP_003043858.1,ybfN,ECB_00639,b0682
YP_003043859.1,fur,ECB_00640,b0683
YP_003043860.1,fldA,ECB_00641,b0684
YP_003043861.1,ybfE,ECB_00642,b0685
YP_003043862.1,ybfF,ECB_00643,b0686
YP_003043863.1,seqA,ECB_00644,b0687
YP_003043864.1,pgm,ECB_00645,b0688
YP_003043865.1,ybfP,ECB_00646,b0689
YP_003043867.1,potE,ECB_00648,b0692
YP_003043868.1,speF,ECB_00649,b0693
YP_003043870.1,kdpE,ECB_00651,b0694
YP_003043871.1,kdpD,ECB_00652,b0695
YP_003043872.1,kdpC,ECB_00653,b0696
YP_003043873.1,kdpB,ECB_00654,b0697
YP_003043874.1,kdpA,ECB_00655,b0698
YP_003043876.1,ybfA,ECB_00657,b0699
YP_003043877.1,rhsC,ECB_00658,b0700
YP_003043878.1,ybfB,ECB_00659,b0702
YP_003043879.1,ybfO,ECB_00660,b0703
YP_003043880.1,ybfC,ECB_00661,b0704
YP_003043884.1,ybfD,ECB_00666,b0706
YP_003043885.1,ybgA,ECB_00667,b0707
