"sampleNum","dataSet","experiment","growthTime_hr","harvestDate","cellTotal","cellsPerTube","batchNumber","carbonSource","Mg_mM","Na_mM","growthPhase","Mg_mM_Levels","Na_mM_Levels","uniqueCondition","uniqueCondition02","doublingTimeMinutes","doublingTimeMinutes.95m","doublingTimeMinutes_95p","rSquared"
39,"MURI_039","glycerol_time_course",24,"7/18/13",2.2e+08,2.2e+07,"010","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
40,"MURI_040","glycerol_time_course",48,"7/19/13",1.94e+08,19400000,"010","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
41,"MURI_041","glycerol_time_course",168,"7/24/13",1.68e+08,16800000,"010","glycerol",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_18","unique_condition_09",84.09256028,74.28728971,96.87985071,0.978655127
42,"MURI_042","glycerol_time_course",336,"7/31/13",1.43e+08,14300000,"010","glycerol",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_18","unique_condition_09",84.09256028,74.28728971,96.87985071,0.978655127
43,"MURI_043","glycerol_time_course",5,"2013-08-06",2.4e+08,2.4e+07,"011","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
44,"MURI_044","glycerol_time_course",7,"2013-08-06",2.75e+08,27500000,"011","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
45,"MURI_045","glycerol_time_course",8,"2013-08-06",1.82e+08,18200000,"011","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
46,"MURI_046","glycerol_time_course",10,"2013-08-06",1.97e+08,19700000,"011","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
47,"MURI_047","glycerol_time_course",14,"2013-08-06",2.36e+08,23600000,"011","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
48,"MURI_048","glycerol_time_course",24,"2013-08-07",1.88e+08,18800000,"011","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
49,"MURI_049","glycerol_time_course",48,"2013-08-08",1.76e+08,17600000,"011","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
50,"MURI_050","glycerol_time_course",168,"2013-08-13",1.23e+08,12300000,"011","glycerol",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_18","unique_condition_09",84.09256028,74.28728971,96.87985071,0.978655127
52,"MURI_052","glycerol_time_course",5,"2013-08-14",1.8e+08,1.8e+07,"012","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
53,"MURI_053","glycerol_time_course",7,"2013-08-14",2.4e+08,2.4e+07,"012","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
54,"MURI_054","glycerol_time_course",8,"2013-08-14",1.8e+08,1.8e+07,"012","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
55,"MURI_055","glycerol_time_course",10,"2013-08-14",3.88e+08,38800000,"012","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
56,"MURI_056","glycerol_time_course",14,"2013-08-14",4.44e+08,44400000,"012","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
57,"MURI_057","glycerol_time_course",24,"2013-08-15",3.9e+08,3.9e+07,"012","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
58,"MURI_058","glycerol_time_course",48,"2013-08-16",3.68e+08,36800000,"012","glycerol",0.8,5,"stationary","baseMg","baseNa","unique_condition_33","unique_condition_15",84.09256028,74.28728971,96.87985071,0.978655127
61,"MURI_061","NaCl_stress",5.5,"2013-09-17",1.1e+10,1.1e+09,"013","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",62.59630672,52.6876373,77.09516308,0.9256599
64,"MURI_064","NaCl_stress",8,"2013-09-17",2.1e+10,2.1e+09,"013","glucose",0.8,300,"exponential","baseMg","highNa","unique_condition_10","unique_condition_03",94.55206746,80.49309685,114.5614333,0.859135365
65,"MURI_065","NaCl_stress",28,"2013-09-18",6.9e+09,6.9e+08,"013","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",62.59630672,52.6876373,77.09516308,0.9256599
66,"MURI_066","NaCl_stress",28,"2013-09-18",2.1e+10,2.1e+09,"013","glucose",0.8,100,"stationary","baseMg","highNa","unique_condition_26","unique_condition_12",66.03566192,57.17392907,78.14834651,0.926509335
67,"MURI_067","NaCl_stress",28,"2013-09-18",1e+10,1e+09,"013","glucose",0.8,200,"stationary","baseMg","highNa","unique_condition_27","unique_condition_12",71.7909528,60.80324561,87.62573034,0.875937904
68,"MURI_068","NaCl_stress",28,"2013-11-18",1.8e+10,1.8e+09,"013","glucose",0.8,300,"stationary","baseMg","highNa","unique_condition_28","unique_condition_12",94.55206746,80.49309685,114.5614333,0.859135365
69,"MURI_069","NaCl_stress",6,"2013-11-21",4.2e+10,4.2e+09,"014","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",62.59630672,52.6876373,77.09516308,0.9256599
70,"MURI_070","NaCl_stress",6.5,"2013-11-21",4e+10,4e+09,"014","glucose",0.8,100,"exponential","baseMg","highNa","unique_condition_08","unique_condition_03",66.03566192,57.17392907,78.14834651,0.926509335
71,"MURI_071","NaCl_stress",8,"2013-11-21",4.3e+10,4.3e+09,"014","glucose",0.8,200,"exponential","baseMg","highNa","unique_condition_09","unique_condition_03",71.7909528,60.80324561,87.62573034,0.875937904
72,"MURI_072","NaCl_stress",10,"2013-11-21",4.3e+10,4.3e+09,"014","glucose",0.8,300,"exponential","baseMg","highNa","unique_condition_10","unique_condition_03",94.55206746,80.49309685,114.5614333,0.859135365
73,"MURI_073","NaCl_stress",29,"2013-11-22",4.3e+10,4.3e+09,"014","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",62.59630672,52.6876373,77.09516308,0.9256599
74,"MURI_074","NaCl_stress",29,"2013-11-22",3.9e+10,3.9e+09,"014","glucose",0.8,100,"stationary","baseMg","highNa","unique_condition_26","unique_condition_12",66.03566192,57.17392907,78.14834651,0.926509335
75,"MURI_075","NaCl_stress",29,"2013-11-22",4.2e+10,4.2e+09,"014","glucose",0.8,200,"stationary","baseMg","highNa","unique_condition_27","unique_condition_12",71.7909528,60.80324561,87.62573034,0.875937904
76,"MURI_076","NaCl_stress",29,"2013-11-22",3.6e+10,3.6e+09,"014","glucose",0.8,300,"stationary","baseMg","highNa","unique_condition_28","unique_condition_12",94.55206746,80.49309685,114.5614333,0.859135365
77,"MURI_077","NaCl_stress",5.5,"2013-11-14",3.6e+10,3.6e+09,"015","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",62.59630672,52.6876373,77.09516308,0.9256599
79,"MURI_079","NaCl_stress",8,"2013-11-14",3.9e+10,3.9e+09,"015","glucose",0.8,200,"exponential","baseMg","highNa","unique_condition_09","unique_condition_03",71.7909528,60.80324561,87.62573034,0.875937904
80,"MURI_080","NaCl_stress",10,"2013-11-14",4.5e+10,4.5e+09,"015","glucose",0.8,300,"exponential","baseMg","highNa","unique_condition_10","unique_condition_03",94.55206746,80.49309685,114.5614333,0.859135365
81,"MURI_081","NaCl_stress",29,"2013-11-15",4.1e+10,4.1e+09,"015","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",62.59630672,52.6876373,77.09516308,0.9256599
82,"MURI_082","NaCl_stress",29,"2013-11-15",4e+10,4e+09,"015","glucose",0.8,100,"stationary","baseMg","highNa","unique_condition_26","unique_condition_12",66.03566192,57.17392907,78.14834651,0.926509335
84,"MURI_084","NaCl_stress",29,"2013-11-15",3.3e+10,3.3e+09,"015","glucose",0.8,300,"stationary","baseMg","highNa","unique_condition_28","unique_condition_12",94.55206746,80.49309685,114.5614333,0.859135365
85,"MURI_085","lactate_growth",9,"2013-10-10",6.4e+09,6.4e+08,"016","lactate",0.8,5,"exponential","baseMg","baseNa","unique_condition_16","unique_condition_07",100.4307315,92.47869035,109.8789863,0.96177919
86,"MURI_086","lactate_growth",29,"2013-10-11",1.2e+10,1.2e+09,"016","lactate",0.8,5,"stationary","baseMg","baseNa","unique_condition_34","unique_condition_16",100.4307315,92.47869035,109.8789863,0.96177919
87,"MURI_087","lactate_growth",8,"2013-10-16",4.6e+09,4.6e+08,"017","lactate",0.8,5,"exponential","baseMg","baseNa","unique_condition_16","unique_condition_07",100.4307315,92.47869035,109.8789863,0.96177919
88,"MURI_088","lactate_growth",29,"2013-10-17",1.1e+10,1.1e+09,"017","lactate",0.8,5,"stationary","baseMg","baseNa","unique_condition_34","unique_condition_16",100.4307315,92.47869035,109.8789863,0.96177919
89,"MURI_089","lactate_growth",9,"2013-10-18",NA,NA,"018","lactate",0.8,5,"exponential","baseMg","baseNa","unique_condition_16","unique_condition_07",100.4307315,92.47869035,109.8789863,0.96177919
90,"MURI_090","lactate_growth",29,"2013-10-19",NA,NA,"018","lactate",0.8,5,"stationary","baseMg","baseNa","unique_condition_34","unique_condition_16",100.4307315,92.47869035,109.8789863,0.96177919
91,"MURI_091","gluconate_growth",6,"2013-10-10",9e+09,9e+08,"019","gluconate",0.8,5,"exponential","baseMg","baseNa","unique_condition_01","unique_condition_01",62.72714551,59.92653397,65.80235831,0.993396867
92,"MURI_092","gluconate_growth",27,"2013-10-11",1.7e+10,1.7e+09,"019","gluconate",0.8,5,"stationary","baseMg","baseNa","unique_condition_19","unique_condition_10",62.72714551,59.92653397,65.80235831,0.993396867
93,"MURI_093","gluconate_growth",5,"2013-10-16",8.8e+09,8.8e+08,"020","gluconate",0.8,5,"exponential","baseMg","baseNa","unique_condition_01","unique_condition_01",62.72714551,59.92653397,65.80235831,0.993396867
94,"MURI_094","gluconate_growth",27,"2013-10-17",1.7e+10,1.7e+09,"020","gluconate",0.8,5,"stationary","baseMg","baseNa","unique_condition_19","unique_condition_10",62.72714551,59.92653397,65.80235831,0.993396867
95,"MURI_095","gluconate_growth",6,"2013-10-18",NA,NA,"021","gluconate",0.8,5,"exponential","baseMg","baseNa","unique_condition_01","unique_condition_01",62.72714551,59.92653397,65.80235831,0.993396867
96,"MURI_096","gluconate_growth",27,"2013-10-19",NA,NA,"021","gluconate",0.8,5,"stationary","baseMg","baseNa","unique_condition_19","unique_condition_10",62.72714551,59.92653397,65.80235831,0.993396867
97,"MURI_097","glucose_time_course",3,"2013-11-05",2.1e+10,2.1e+09,"007","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
98,"MURI_098","glucose_time_course",4,"2013-11-05",2.7e+10,2.7e+09,"007","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
99,"MURI_099","glucose_time_course",5,"2013-11-05",2.7e+10,2.7e+09,"007","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
100,"MURI_100","glucose_time_course",6,"2013-11-05",2.9e+10,2.9e+09,"007","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
101,"MURI_101","glucose_time_course",8,"2013-11-05",3.9e+10,3.9e+09,"007","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
102,"MURI_102","glucose_time_course",24,"2013-11-06",3.8e+10,3.8e+09,"007","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
103,"MURI_103","glucose_time_course",48,"2013-11-07",3.4e+10,3.4e+09,"007","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
104,"MURI_104","glucose_time_course",168,"2013-11-12",3.1e+10,3.1e+09,"007","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
105,"MURI_105","glucose_time_course",336,"2013-11-19",3e+10,3e+09,"007","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
106,"MURI_106","MgSO4_stress_high",5.5,"2013-12-11",3.9e+10,3.9e+09,"022","glucose",0.08,5,"exponential","lowMg","baseNa","unique_condition_06","unique_condition_05",62.16562822,56.5029441,69.08975323,0.970338997
107,"MURI_107","MgSO4_stress_high",5.5,"2013-12-11",4.4e+10,4.4e+09,"022","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",63.60809667,56.92589362,72.06771046,0.959752519
108,"MURI_108","MgSO4_stress_high",5.5,"2013-12-11",4.6e+10,4.6e+09,"022","glucose",8,5,"exponential","highMg","baseNa","unique_condition_11","unique_condition_04",62.36489043,58.11110352,67.29062701,0.983953962
109,"MURI_109","MgSO4_stress_high",5,"2013-12-11",3.4e+10,3.4e+09,"022","glucose",50,5,"exponential","highMg","baseNa","unique_condition_12","unique_condition_04",56.26617627,51.52141871,61.97349608,0.97901149
110,"MURI_110","MgSO4_stress_high",5,"2013-12-11",3.2e+10,3.2e+09,"022","glucose",200,5,"exponential","highMg","baseNa","unique_condition_13","unique_condition_04",54.49592511,50.42775732,59.27807632,0.98381498
111,"MURI_111","MgSO4_stress_high",7,"2013-12-11",3.9e+10,3.9e+09,"022","glucose",400,5,"exponential","highMg","baseNa","unique_condition_14","unique_condition_04",82.91705779,77.89733837,88.62828121,0.981270804
112,"MURI_112","MgSO4_stress_high",28,"2013-12-12",3.9e+10,3.9e+09,"022","glucose",0.08,5,"stationary","lowMg","baseNa","unique_condition_24","unique_condition_14",62.16562822,56.5029441,69.08975323,0.970338997
113,"MURI_113","MgSO4_stress_high",28,"2013-12-12",4.1e+10,4.1e+09,"022","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",63.60809667,56.92589362,72.06771046,0.959752519
114,"MURI_114","MgSO4_stress_high",28,"2013-12-12",4.4e+10,4.4e+09,"022","glucose",8,5,"stationary","highMg","baseNa","unique_condition_29","unique_condition_13",62.36489043,58.11110352,67.29062701,0.983953962
115,"MURI_115","MgSO4_stress_high",28,"2013-12-12",4.2e+10,4.2e+09,"022","glucose",50,5,"stationary","highMg","baseNa","unique_condition_30","unique_condition_13",56.26617627,51.52141871,61.97349608,0.97901149
116,"MURI_116","MgSO4_stress_high",28,"2013-12-12",4.4e+10,4.4e+09,"022","glucose",200,5,"stationary","highMg","baseNa","unique_condition_31","unique_condition_13",54.49592511,50.42775732,59.27807632,0.98381498
117,"MURI_117","MgSO4_stress_high",28,"2013-12-12",3.3e+10,3.3e+09,"022","glucose",400,5,"stationary","highMg","baseNa","unique_condition_32","unique_condition_13",82.91705779,77.89733837,88.62828121,0.981270804
118,"MURI_118","MgSO4_stress_high",5.5,"2014-01-15",3.2e+10,3.2e+09,"023","glucose",0.08,5,"exponential","lowMg","baseNa","unique_condition_06","unique_condition_05",62.16562822,56.5029441,69.08975323,0.970338997
119,"MURI_119","MgSO4_stress_high",5.5,"2014-01-15",3.6e+10,3.6e+09,"023","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",63.60809667,56.92589362,72.06771046,0.959752519
120,"MURI_120","MgSO4_stress_high",5.5,"2014-01-15",3.9e+10,3.9e+09,"023","glucose",8,5,"exponential","highMg","baseNa","unique_condition_11","unique_condition_04",62.36489043,58.11110352,67.29062701,0.983953962
121,"MURI_121","MgSO4_stress_high",5,"2014-01-15",3.6e+10,3.6e+09,"023","glucose",50,5,"exponential","highMg","baseNa","unique_condition_12","unique_condition_04",56.26617627,51.52141871,61.97349608,0.97901149
122,"MURI_122","MgSO4_stress_high",5,"2014-01-15",3.4e+10,3.4e+09,"023","glucose",200,5,"exponential","highMg","baseNa","unique_condition_13","unique_condition_04",54.49592511,50.42775732,59.27807632,0.98381498
123,"MURI_123","MgSO4_stress_high",7,"2014-01-15",3.7e+10,3.7e+09,"023","glucose",400,5,"exponential","highMg","baseNa","unique_condition_14","unique_condition_04",82.91705779,77.89733837,88.62828121,0.981270804
124,"MURI_124","MgSO4_stress_high",28,"2014-01-16",3.4e+10,3.4e+09,"023","glucose",0.08,5,"stationary","lowMg","baseNa","unique_condition_24","unique_condition_14",62.16562822,56.5029441,69.08975323,0.970338997
125,"MURI_125","MgSO4_stress_high",28,"2014-01-16",3.8e+10,3.8e+09,"023","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",63.60809667,56.92589362,72.06771046,0.959752519
126,"MURI_126","MgSO4_stress_high",28,"2014-01-16",4e+10,4e+09,"023","glucose",8,5,"stationary","highMg","baseNa","unique_condition_29","unique_condition_13",62.36489043,58.11110352,67.29062701,0.983953962
127,"MURI_127","MgSO4_stress_high",28,"2014-01-16",4.2e+10,4.2e+09,"023","glucose",50,5,"stationary","highMg","baseNa","unique_condition_30","unique_condition_13",56.26617627,51.52141871,61.97349608,0.97901149
128,"MURI_128","MgSO4_stress_high",28,"2014-01-16",4.3e+10,4.3e+09,"023","glucose",200,5,"stationary","highMg","baseNa","unique_condition_31","unique_condition_13",54.49592511,50.42775732,59.27807632,0.98381498
129,"MURI_129","MgSO4_stress_high",28,"2014-01-16",3.3e+10,3.3e+09,"023","glucose",400,5,"stationary","highMg","baseNa","unique_condition_32","unique_condition_13",82.91705779,77.89733837,88.62828121,0.981270804
130,"MURI_130","MgSO4_stress_high",5.5,"2014-01-30",3.2e+10,3.2e+09,"024","glucose",0.08,5,"exponential","lowMg","baseNa","unique_condition_06","unique_condition_05",62.16562822,56.5029441,69.08975323,0.970338997
131,"MURI_131","MgSO4_stress_high",5.5,"2014-01-30",3.6e+10,3.6e+09,"024","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",63.60809667,56.92589362,72.06771046,0.959752519
132,"MURI_132","MgSO4_stress_high",5.5,"2014-01-30",3.9e+10,3.9e+09,"024","glucose",8,5,"exponential","highMg","baseNa","unique_condition_11","unique_condition_04",62.36489043,58.11110352,67.29062701,0.983953962
133,"MURI_133","MgSO4_stress_high",5,"2014-01-30",3.2e+10,3.2e+09,"024","glucose",50,5,"exponential","highMg","baseNa","unique_condition_12","unique_condition_04",56.26617627,51.52141871,61.97349608,0.97901149
134,"MURI_134","MgSO4_stress_high",5,"2014-01-30",3.1e+10,3.1e+09,"024","glucose",200,5,"exponential","highMg","baseNa","unique_condition_13","unique_condition_04",54.49592511,50.42775732,59.27807632,0.98381498
135,"MURI_135","MgSO4_stress_high",7,"2014-01-30",3.5e+10,3.5e+09,"024","glucose",400,5,"exponential","highMg","baseNa","unique_condition_14","unique_condition_04",82.91705779,77.89733837,88.62828121,0.981270804
136,"MURI_136","MgSO4_stress_high",28,"2014-01-31",3.7e+10,3.7e+09,"024","glucose",0.08,5,"stationary","lowMg","baseNa","unique_condition_24","unique_condition_14",62.16562822,56.5029441,69.08975323,0.970338997
137,"MURI_137","MgSO4_stress_high",28,"2014-01-31",4e+10,4e+09,"024","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",63.60809667,56.92589362,72.06771046,0.959752519
138,"MURI_138","MgSO4_stress_high",28,"2014-01-31",4e+10,4e+09,"024","glucose",8,5,"stationary","highMg","baseNa","unique_condition_29","unique_condition_13",62.36489043,58.11110352,67.29062701,0.983953962
139,"MURI_139","MgSO4_stress_high",28,"2014-01-31",4.1e+10,4.1e+09,"024","glucose",50,5,"stationary","highMg","baseNa","unique_condition_30","unique_condition_13",56.26617627,51.52141871,61.97349608,0.97901149
140,"MURI_140","MgSO4_stress_high",28,"2014-01-31",4.3e+10,4.3e+09,"024","glucose",200,5,"stationary","highMg","baseNa","unique_condition_31","unique_condition_13",54.49592511,50.42775732,59.27807632,0.98381498
141,"MURI_141","MgSO4_stress_high",28,"2014-01-31",2.9e+10,2.9e+09,"024","glucose",400,5,"stationary","highMg","baseNa","unique_condition_32","unique_condition_13",82.91705779,77.89733837,88.62828121,0.981270804
142,"MURI_142","MgSO4_stress_low",5,"2014-06-17",NA,NA,"025","glucose",0.005,5,"exponential","lowMg","baseNa","unique_condition_02","unique_condition_05",69.19412053,65.29845183,73.58410671,0.988384832
143,"MURI_143","MgSO4_stress_low",5.5,"2014-06-17",NA,NA,"025","glucose",0.01,5,"exponential","lowMg","baseNa","unique_condition_03","unique_condition_05",64.32310473,60.79379548,68.28744883,0.98814319
144,"MURI_144","MgSO4_stress_low",5.5,"2014-06-17",NA,NA,"025","glucose",0.02,5,"exponential","lowMg","baseNa","unique_condition_04","unique_condition_05",62.77391883,59.65820042,66.2330145,0.990382414
145,"MURI_145","MgSO4_stress_low",5.5,"2014-06-17",NA,NA,"025","glucose",0.04,5,"exponential","lowMg","baseNa","unique_condition_05","unique_condition_05",60.35450581,56.57780956,64.67147228,0.984383516
146,"MURI_146","MgSO4_stress_low",5.5,"2014-06-17",NA,NA,"025","glucose",0.08,5,"exponential","lowMg","baseNa","unique_condition_06","unique_condition_05",58.99414607,55.43306824,63.0441689,0.985519703
147,"MURI_147","MgSO4_stress_low",26,"2014-06-18",NA,NA,"025","glucose",0.005,5,"stationary","lowMg","baseNa","unique_condition_20","unique_condition_14",69.19412053,65.29845183,73.58410671,0.988384832
148,"MURI_148","MgSO4_stress_low",26,"2014-06-18",NA,NA,"025","glucose",0.01,5,"stationary","lowMg","baseNa","unique_condition_21","unique_condition_14",64.32310473,60.79379548,68.28744883,0.98814319
